,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
2355,20,2012-05-03,90,70,80,M,66,71,0,15,-,-,MO,0.0,0.00,29.18,29.87, 7.8,17,8.3
2356,1,2012-05-04,56,50,53,M,50,51,12, 0,-,-,Not_MO,M,0.04,29.83,29.99, 1.3,07,3.7
2357,2,2012-05-04,65,48,57, 5,52,53,8, 0,0440,1850,Not_MO,0.0,0.02,28.88,29.97, 3.2,21,7.4
2358,3,2012-05-04,88,75,82,16,68,72,0,17,0528,1913,MO,0.0,0.00,29.10,29.80,13.5,17,13.8
2359,4,2012-05-04,93,72,83, 9,68,72,0,18,0545,1910,MO,0.0,0.00,29.23,29.90, 5.1,16,7.1
2360,6,2012-05-04,93,72,83,11,69,72,0,18,0545,1910,MO,0.0,0.00,29.39,29.90, 8.3,16,9.4
2361,7,2012-05-04,86,72,79,M,66,70,0,14,-,-,Not_MO,0.0,0.01,28.45,29.78,13.8,18,15.0
2362,8,2012-05-04,90,70,M,M,68,72,M,M,-,-,Not_MO,M,0.00,29.58,M, 5.6,16,6.4
2363,9,2012-05-04,74,53,64,M,52,57,1, 0,-,-,Not_MO,M,0.34,29.21,29.93, 8.8,07,10.7
2364,10,2012-05-04,92,74,83,M,65,70,0,18,0541,1906,MO,M,0.00,30.03,30.05, 6.7,16,7.9
2365,11,2012-05-04,90,65,78, 8,M,M,0,13,0541,1906,MO,0.0,0.00,30.03,M,M,M,4.9
2366,12,2012-05-04,88,64,76,M,66,70,0,11,-,-,MO,0.0,0.00,30.03,30.06, 4.0,16,4.9
2367,13,2012-05-04,87,53,70,M,23,48,0, 5,-,-,MO,M,0.00,24.11,29.69, 7.6,20,9.6
2368,14,2012-05-04,83,68,76,11,67,70,0,11,0536,1918,MO,0.0,0.02,28.46,29.79,10.6,17,11.3
2369,15,2012-05-04,55,48,52, 0,49,50,13, 0,0436,1851,Not_MO,0.0,0.13,29.60,29.97, 1.5,11,3.1
2370,16,2012-05-04,54,48,51,M,50,50,14, 0,-,-,Not_MO,M,0.09,29.86,29.96, 1.4,12,4.5
2371,17,2012-05-04,89,74,82,M,68,72,0,17,-,-,Not_MO,0.0,  T,29.16,29.84, 9.0,17,9.3
2372,18,2012-05-04,92,73,83,11,67,72,0,18,0538,1911,Not_MO,0.0,  T,29.36,29.88, 9.8,16,11.5
2373,19,2012-05-04,70,46,58, 6,47,50,7, 0,0442,1854,Not_MO,0.0,  T,29.25,29.98,12.9,01,14.8
2374,20,2012-05-04,92,72,82,M,66,71,0,17,-,-,Not_MO,0.0,  T,29.18,29.87, 7.5,16,9.5
2375,1,2012-05-05,66,50,58,M,49,52,7, 0,-,-,Not_MO,M,0.01,29.84,30.02, 2.3,07,2.7
2376,2,2012-05-05,63,50,57, 4,51,53,8, 0,0438,1851,Not_MO,0.0,0.02,28.90,30.00, 2.2,08,3.1
2377,3,2012-05-05,89,67,78,12,65,70,0,13,0527,1913,MO,0.0,0.00,29.08,29.78,11.2,16,11.8
2378,4,2012-05-05,96,71,84,10,69,73,0,19,0545,1911,Not_MO,0.0,0.11,29.16,29.84, 5.2,16,7.1
2379,6,2012-05-05,95,71,83,11,70,74,0,18,0545,1910,Not_MO,0.0,0.00,29.33,29.83, 8.7,17,9.2
2380,7,2012-05-05,90,70,80,M,66,71,0,15,-,-,MO,0.0,0.00,28.39,29.73,18.3,18,19.1
2381,8,2012-05-05,93,72,M,M,70,73,M,M,-,-,Not_MO,M,0.00,29.52,M, 8.2,17,8.2
2382,9,2012-05-05,60,55,58,M,52,54,7, 0,-,-,Not_MO,M,0.77,29.21,29.97, 6.5,09,8.3
2383,10,2012-05-05,94,72,83,M,64,70,0,18,0540,1906,MO,M,0.00,29.94,29.96, 4.8,18,7.4
2384,11,2012-05-05,93,65,79, 9,M,M,0,14,0540,1907,MO,0.0,0.00,29.93,M,M,M,5.6
2385,12,2012-05-05,92,66,79,M,64,70,0,14,-,-,MO,0.0,0.00,29.93,29.96, 2.5,19,5.9
2386,13,2012-05-05,82,45,64,M,27,47,1, 0,-,-,Not_MO,M,0.07,24.16,29.73, 3.2,01,8.5
2387,14,2012-05-05,89,63,76,11,66,70,0,11,0535,1919,MO,0.0,0.00,28.40,29.74,14.6,17,15.0
2388,15,2012-05-05,70,49,60, 8,49,52,5, 0,0435,1852,Not_MO,0.0,0.01,29.60,30.00, 0.5,33,2.8
2389,16,2012-05-05,60,43,52,M,48,50,13, 0,-,-,Not_MO,M,0.02,29.86,29.99, 1.9,05,3.3
2390,17,2012-05-05,90,67,79,M,65,70,0,14,-,-,Not_MO,0.0,0.00,29.13,29.82, 7.8,16,8.1
2391,18,2012-05-05,93,69,81, 9,66,71,0,16,0537,1911,MO,0.0,0.00,29.29,29.81,12.4,16,12.9
2392,19,2012-05-05,53,47,50,-2,46,48,15, 0,0441,1856,Not_MO,0.0,0.12,29.31,30.06, 9.1,03,9.9
2393,20,2012-05-05,92,68,80,M,66,71,0,15,-,-,MO,0.0,0.00,29.10,29.80, 8.5,15,9.3
2394,1,2012-05-06,62,47,55,M,41,48,10, 0,-,-,Not_MO,M,0.00,29.95,30.12, 2.7,08,3.8
2395,2,2012-05-06,62,48,55, 2,46,50,10, 0,0437,1852,Not_MO,0.0,0.00,29.00,30.09, 2.2,12,5.6
2396,3,2012-05-06,87,72,80,14,69,72,0,15,0526,1914,MO,0.0,0.00,29.08,29.77,11.0,16,11.4
2397,4,2012-05-06,93,66,80, 6,66,70,0,15,0544,1911,Not_MO,0.0,0.69,29.14,29.83, 3.7,17,6.0
2398,6,2012-05-06,93,67,80, 7,67,70,0,15,0544,1911,Not_MO,0.0,0.73,29.29,29.82, 7.7,19,9.4
2399,7,2012-05-06,87,67,77,M,66,70,0,12,-,-,Not_MO,0.0,0.00,28.43,29.74,12.6,18,14.8
2400,8,2012-05-06,91,68,M,M,66,70,M,M,-,-,Not_MO,M,0.26,29.50,M, 5.4,19,8.0
2401,9,2012-05-06,64,52,58,M,53,55,7, 0,-,-,Not_MO,M,1.10,29.17,29.95, 5.0,03,6.8
2402,10,2012-05-06,96,72,84,M,63,69,0,19,0540,1907,Not_MO,M,0.07,29.88,29.91, 3.5,29,8.6
2403,11,2012-05-06,96,65,81,10,M,M,0,16,0539,1907,Not_MO,0.0,0.85,29.88,M,M,M,6.4
2404,12,2012-05-06,96,72,84,M,65,70,0,19,-,-,Not_MO,0.0,0.01,29.87,29.92, 2.6,31,6.6
2405,13,2012-05-06,60,42,51,M,33,42,14, 0,-,-,Not_MO,M,0.11,24.39,30.13, 5.1,01,7.4
2406,14,2012-05-06,87,68,78,13,67,70,0,13,0534,1920,Not_MO,0.0,0.00,28.43,29.75,10.8,18,12.5
2407,15,2012-05-06,69,45,57, 4,42,49,8, 0,0433,1853,MO,0.0,0.00,29.71,30.09, 1.0,09,3.6
2408,16,2012-05-06,54,39,47,M,40,44,18, 0,-,-,Not_MO,M,0.00,29.98,30.09, 3.2,10,5.6
2409,17,2012-05-06,88,70,79,M,69,72,0,14,-,-,Not_MO,0.0,0.00,29.13,29.81, 6.9,16,7.0
2410,18,2012-05-06,90,75,83,11,65,71,0,18,0536,1912,MO,0.0,0.00,29.29,29.80,11.9,17,12.4
2411,19,2012-05-06,61,46,54, 2,48,49,11, 0,0439,1857,Not_MO,0.0,2.45,29.24,29.99, 6.0,08,10.0
2412,20,2012-05-06,90,74,82,M,65,70,0,17,-,-,MO,0.0,0.00,29.10,29.79, 8.7,16,10.1
2413,1,2012-05-07,70,45,58,M,40,49,7, 0,-,-,MO,M,  T,29.96,30.12, 1.9,11,5.0
2414,2,2012-05-07,70,43,57, 4,43,49,8, 0,0436,1853,Not_MO,0.0,0.00,29.01,30.10, 4.4,20,5.0
2415,3,2012-05-07,77,59,68, 1,61,64,0, 3,0525,1915,Not_MO,0.0,0.00,29.22,29.91, 8.8,01,10.2
2416,4,2012-05-07,92,67,80, 5,68,71,0,15,0543,1912,Not_MO,0.0,0.42,29.16,29.84, 0.8,02,4.6
2417,6,2012-05-07,92,68,80, 7,68,71,0,15,0543,1912,Not_MO,0.0,0.06,29.32,29.83, 1.4,09,7.7
2418,7,2012-05-07,68,60,64,M,57,60,1, 0,-,-,Not_MO,0.0,0.00,28.62,29.95,14.3,36,14.5
2419,8,2012-05-07,91,68,M,M,67,71,M,M,-,-,Not_MO,M,0.01,29.50,M, 1.7,14,3.6
2420,9,2012-05-07,67,52,60,M,44,52,5, 0,-,-,Not_MO,M,0.00,29.15,29.92,10.0,29,10.5
2421,10,2012-05-07,87,71,79,M,68,71,0,14,0539,1908,Not_MO,M,0.48,29.88,29.91, 5.9,06,6.2
2422,11,2012-05-07,84,69,77, 6,M,M,0,12,0538,1908,Not_MO,0.0,  T,29.88,M,M,M,6.7
2423,12,2012-05-07,85,70,78,M,68,71,0,13,-,-,MO,0.0,0.00,29.88,29.92, 5.9,07,6.4
2424,13,2012-05-07,48,40,44,M,38,41,21, 0,-,-,Not_MO,M,0.16,24.42,30.25, 3.0,13,4.6
2425,14,2012-05-07,69,62,66, 0,57,61,0, 1,0533,1921,MO,0.0,  T,28.61,29.93,14.8,36,15.1
2426,15,2012-05-07,71,36,54, 1,38,47,11, 0,0432,1854,MO,0.0,0.00,29.72,30.10, 2.2,14,3.9
2427,16,2012-05-07,64,40,52,M,41,48,13, 0,-,-,MO,M,0.00,29.99,30.10, 4.3,14,5.8
2428,17,2012-05-07,78,63,71,M,60,64,0, 6,-,-,Not_MO,0.0,0.00,29.28,29.94, 7.4,02,7.9
2429,18,2012-05-07,90,69,80, 8,66,70,0,15,0535,1913,Not_MO,0.0,0.39,29.36,29.84, 4.2,33,8.9
2430,19,2012-05-07,61,48,55, 2,50,52,10, 0,0438,1858,Not_MO,0.0,0.08,29.13,29.88, 2.1,31,4.2
2431,20,2012-05-07,91,69,80,M,66,70,0,15,-,-,Not_MO,0.0,0.01,29.16,29.83, 4.9,31,8.9
2432,1,2012-05-08,57,49,53,M,46,50,12, 0,-,-,Not_MO,M,0.38,29.86,30.01, 4.0,19,5.1
2433,2,2012-05-08,55,46,51,-3,47,49,14, 0,0435,1854,Not_MO,0.0,0.43,28.91,29.99, 10.0,20,10.7
2434,3,2012-05-08,76,54,65,-2,49,57,0, 0,0524,1916,MO,0.0,0.00,29.31,30.02, 5.9,35,6.4
2435,4,2012-05-08,70,63,67,-8,64,66,0, 2,0542,1913,Not_MO,0.0,0.26,29.28,29.95, 2.2,36,3.5
2436,6,2012-05-08,71,63,67,-6,65,66,0, 2,0542,1912,Not_MO,0.0,0.12,29.44,29.95, 5.2,36,6.6
2437,7,2012-05-08,74,52,63,M,46,54,2, 0,-,-,MO,0.0,0.00,28.69,30.05, 7.3,01,8.1
2438,8,2012-05-08,72,66,M,M,63,65,M,M,-,-,Not_MO,M,0.58,29.59,M, 3.4,35,4.7
2439,9,2012-05-08,58,48,53,M,46,49,12, 0,-,-,Not_MO,M,0.24,29.15,29.90, 3.4,30,4.6
2440,10,2012-05-08,87,72,80,M,67,71,0,15,0538,1908,Not_MO,M,  T,29.86,29.89, 2.5,10,5.6
2441,11,2012-05-08,86,63,75, 4,M,M,0,10,0538,1909,MO,0.0,0.26,29.85,M,M,M,4.0
2442,12,2012-05-08,84,65,75,M,67,70,0,10,-,-,Not_MO,0.0,  T,29.85,29.90, 2.7,11,3.5
2443,13,2012-05-08,63,36,50,M,33,42,15, 0,-,-,Not_MO,M,0.00,24.37,30.17, 0.8,18,4.2
2444,14,2012-05-08,73,55,64,-2,46,54,1, 0,0532,1921,MO,0.0,  T,28.68,30.04, 7.9,01,8.4
2445,15,2012-05-08,54,46,50,-3,48,49,15, 0,0431,1855,Not_MO,0.0,0.85,29.62,29.97, 5.4,15,5.8
2446,16,2012-05-08,55,48,52,M,46,49,13, 0,-,-,Not_MO,M,0.40,29.90,29.98, 7.1,17,7.9
2447,17,2012-05-08,76,51,64,M,48,56,1, 0,-,-,MO,0.0,0.00,29.38,30.06, 4.9,02,5.4
2448,18,2012-05-08,75,67,71,-1,61,64,0, 6,0534,1914,MO,0.0,0.01,29.47,29.96, 6.2,35,8.4
2449,19,2012-05-08,68,52,60, 7,43,51,5, 0,0437,1859,MO,0.0,0.00,29.09,29.84, 8.7,28,9.2
2450,20,2012-05-08,76,67,72,M,61,65,0, 7,-,-,MO,0.0,0.00,29.26,29.95, 6.6,34,8.5
2451,1,2012-05-09,65,57,61,M,58,59,4, 0,-,-,Not_MO,M,0.34,29.59,29.72, 3.6,21,4.3
2452,2,2012-05-09,61,55,58, 4,57,57,7, 0,0433,1855,Not_MO,0.0,0.20,28.66,29.72, 6.2,21,6.6
2453,3,2012-05-09,79,50,65,-2,49,56,0, 0,0523,1917,MO,0.0,0.00,29.28,30.00, 3.0,01,4.7
2454,4,2012-05-09,83,61,72,-3,61,66,0, 7,0542,1913,Not_MO,0.0,0.03,29.24,29.97, 1.8,02,4.4
2455,6,2012-05-09,84,63,74, 1,63,66,0, 9,0541,1913,Not_MO,0.0,0.33,29.41,29.96, 5.4,02,7.7
2456,7,2012-05-09,81,48,65,M,44,54,0, 0,-,-,MO,0.0,0.00,28.64,30.01, 1.6,22,4.3
2457,8,2012-05-09,82,64,M,M,60,65,M,M,-,-,Not_MO,M,0.00,29.60,M, 3.6,01,4.0
2458,9,2012-05-09,65,45,55,M,41,49,10, 0,-,-,MO,M,0.00,29.23,30.00, 2.9,36,4.2
2459,10,2012-05-09,92,69,81,M,65,70,0,16,0537,1909,MO,M,0.15,29.78,29.80, 7.5,26,8.3
2460,11,2012-05-09,89,64,77, 5,M,M,0,12,0537,1909,Not_MO,0.0,0.28,29.77,M,M,M,6.2
2461,12,2012-05-09,92,65,79,M,64,69,0,14,-,-,Not_MO,0.0,  T,29.76,29.80, 5.8,26,7.1
2462,13,2012-05-09,75,41,58,M,25,45,7, 0,-,-,MO,M,0.00,24.24,29.93, 4.8,17,8.1
2463,14,2012-05-09,81,48,65,-1,45,55,0, 0,0531,1922,MO,0.0,0.00,28.63,30.01, 0.6,21,3.9
2464,15,2012-05-09,63,49,56, 2,55,56,9, 0,0430,1856,Not_MO,0.0,0.02,29.35,29.70, 0.7,21,2.5
2465,16,2012-05-09,63,54,59,M,58,58,6, 0,-,-,Not_MO,M,0.24,29.62,29.69, 4.7,18,4.9
2466,17,2012-05-09,81,48,65,M,48,56,0, 0,-,-,MO,0.0,0.00,29.34,30.04, 1.3,02,2.6
2467,18,2012-05-09,83,62,73, 1,49,60,0, 8,0533,1914,MO,0.0,0.00,29.47,29.99, 4.6,05,5.5
2468,19,2012-05-09,56,46,51,-2,44,48,14, 0,0436,1900,Not_MO,0.0,0.08,29.18,29.92, 2.7,01,6.5
2469,20,2012-05-09,84,61,73,M,49,59,0, 8,-,-,Not_MO,0.0,  T,29.27,29.98, 5.0,04,6.1
2470,1,2012-05-10,67,49,58,M,48,53,7, 0,-,-,Not_MO,M,0.78,29.34,29.51, 7.7,28,9.0
2471,2,2012-05-10,62,43,53,-1,44,48,12, 0,0432,1856,Not_MO,0.0,0.44,28.45,29.53,10.8,29,12.5
2472,3,2012-05-10,83,52,68, 0,50,58,0, 3,0522,1918,MO,0.0,0.00,29.19,29.91, 4.9,13,5.5
2473,4,2012-05-10,73,63,68,-7,63,65,0, 3,0541,1914,Not_MO,0.0,2.70,29.16,29.86, 3.3,12,5.8
2474,6,2012-05-10,75,63,69,-5,64,66,0, 4,0541,1914,Not_MO,0.0,2.85,29.33,29.85, 5.3,10,7.6
2475,7,2012-05-10,82,51,67,M,47,57,0, 2,-,-,MO,0.0,0.00,28.53,29.89, 9.6,17,10.6
2476,8,2012-05-10,73,68,M,M,64,66,M,M,-,-,Not_MO,M,1.17,29.51,M, 3.1,09,4.6
2477,9,2012-05-10,73,46,60,M,44,52,5, 0,-,-,Not_MO,M,0.00,29.13,29.90, 7.9,15,8.0
2478,10,2012-05-10,82,63,73,M,58,64,0, 8,0537,1910,MO,M,0.00,29.82,29.86, 3.2,03,8.1
2479,11,2012-05-10,80,59,70,-2,M,M,0, 5,0536,1910,MO,0.0,0.00,29.80,M,M,M,5.4
2480,12,2012-05-10,80,60,70,M,58,63,0, 5,-,-,MO,0.0,0.00,29.80,29.86, 3.6,03,7.2
2481,13,2012-05-10,81,51,66,M,26,47,0, 1,-,-,MO,M,0.00,24.11,29.70, 0.8,21,8.5
2482,14,2012-05-10,82,49,66, 0,48,56,0, 1,0531,1923,MO,0.0,0.00,28.53,29.89, 7.9,17,8.9
2483,15,2012-05-10,65,44,55, 1,48,51,10, 0,0428,1857,Not_MO,0.0,0.69,29.12,29.50, 7.2,30,M
2484,16,2012-05-10,63,47,55,M,48,52,10, 0,-,-,Not_MO,M,0.91,29.36,29.47, 7.2,29,8.1
2485,17,2012-05-10,84,51,68,M,50,58,0, 3,-,-,Not_MO,0.0,  T,29.25,29.95, 2.7,16,3.5
2486,18,2012-05-10,82,61,72,-1,51,61,0, 7,0532,1915,MO,0.0,0.00,29.36,29.89, 8.8,14,9.3
2487,19,2012-05-10,62,41,52,-2,35,45,13, 0,0435,1901,MO,0.0,0.00,29.27,30.00, 3.3,12,6.3
2488,20,2012-05-10,82,57,70,M,51,60,0, 5,-,-,Not_MO,0.0,0.00,29.16,29.88, 7.2,13,7.4
2489,1,2012-05-11,65,45,55,M,36,46,10, 0,-,-,MO,M,0.00,29.67,29.88, 6.1,28,8.0
2490,2,2012-05-11,62,43,53,-2,33,44,12, 0,0431,1857,MO,0.0,0.00,28.77,29.90,11.4,28,11.9
2491,3,2012-05-11,71,59,65,-3,55,59,0, 0,0521,1919,Not_MO,0.0,0.02,29.30,29.99, 3.0,10,5.9
2492,4,2012-05-11,83,62,73,-3,63,66,0, 8,0540,1915,Not_MO,0.0,0.03,29.18,29.86, 0.3,29,2.0
2493,6,2012-05-11,83,62,73,-1,63,66,0, 8,0540,1914,Not_MO,0.0,  T,29.34,29.84, 3.1,36,4.7
2494,7,2012-05-11,67,60,64,M,55,58,1, 0,-,-,Not_MO,0.0,0.44,28.63,29.97, 5.9,08,9.2
2495,8,2012-05-11,82,63,M,M,61,65,M,M,-,-,Not_MO,M,0.00,29.49,M, 0.3,07,2.2
2496,9,2012-05-11,71,51,61,M,48,54,4, 0,-,-,Not_MO,M,0.06,29.28,29.99, 4.5,31,10.4
2497,10,2012-05-11,86,65,76,M,57,64,0,11,0536,1910,Not_MO,M,0.00,30.01,30.05, 5.6,09,8.2
2498,11,2012-05-11,83,55,69,-3,M,M,0, 4,0535,1911,Not_MO,0.0,0.00,30.00,M,M,M,6.0
2499,12,2012-05-11,84,53,69,M,56,62,0, 4,-,-,Not_MO,0.0,0.00,29.99,30.06, 5.3,10,6.4
2500,13,2012-05-11,52,38,45,M,33,39,20, 0,-,-,Not_MO,M,0.03,24.42,30.19, 7.2,02,9.0
2501,14,2012-05-11,64,59,62,-5,55,58,3, 0,0530,1924,Not_MO,0.0,0.49,28.62,29.97, 7.7,07,9.9
2502,15,2012-05-11,66,36,51,-3,34,44,14, 0,0427,1858,MO,0.0,0.00,29.45,29.87, 8.0,30,8.8
2503,16,2012-05-11,63,43,53,M,36,45,12, 0,-,-,MO,M,0.00,29.70,29.85, 7.2,29,8.8
2504,17,2012-05-11,71,57,64,M,55,59,1, 0,-,-,Not_MO,0.0,0.04,29.36,30.03, 2.5,09,4.1
2505,18,2012-05-11,75,64,70,-3,63,65,0, 5,0532,1916,Not_MO,0.0,0.58,29.38,29.87, 4.6,10,7.5
2506,19,2012-05-11,77,49,63, 9,41,53,2, 0,0433,1902,MO,0.0,0.00,29.31,30.05,11.4,20,11.8
2507,20,2012-05-11,78,62,70,M,62,64,0, 5,-,-,Not_MO,0.0,0.80,29.18,29.86, 2.5,10,5.9
2508,1,2012-05-12,80,42,61,M,37,50,4, 0,-,-,MO,M,0.00,29.92,30.09, 5.3,26,6.4
2509,2,2012-05-12,76,46,61, 6,34,49,4, 0,0430,1859,MO,0.0,0.00,29.02,30.12,10.2,28,10.6
2510,3,2012-05-12,74,60,67,-1,58,62,0, 2,0520,1919,Not_MO,0.0,0.11,29.42,30.13, 5.5,34,5.8
2511,4,2012-05-12,82,64,73,-3,60,64,0, 8,0539,1915,MO,0.0,0.00,29.39,30.05, 2.8,35,4.8
2512,6,2012-05-12,82,64,73,-1,60,65,0, 8,0539,1915,Not_MO,0.0,0.00,29.54,30.04, 7.2,34,8.0
2513,7,2012-05-12,72,55,64,M,56,59,1, 0,-,-,Not_MO,0.0,0.44,28.80,30.15, 7.7,03,8.6
2514,8,2012-05-12,82,66,M,M,61,66,M,M,-,-,Not_MO,M,0.05,29.68,M, 5.8,34,5.9
2515,9,2012-05-12,70,49,60,M,37,49,5, 0,-,-,MO,M,0.00,29.54,30.29, 2.6,34,3.6
2516,10,2012-05-12,85,73,79,M,57,65,0,14,0535,1911,MO,M,0.00,30.16,30.18,12.4,10,12.5
2517,11,2012-05-12,82,61,72,-1,58,63,0, 7,0535,1911,MO,0.0,0.00,30.16,30.19, 8.2,11,9.0
2518,12,2012-05-12,83,65,74,M,57,64,0, 9,-,-,MO,0.0,0.00,30.15,30.20, 8.6,12,8.7
2519,13,2012-05-12,57,37,47,M,39,42,18, 0,-,-,Not_MO,M,0.14,24.47,30.32, 2.8,36,6.9
2520,14,2012-05-12,72,58,65,-2,56,59,0, 0,0529,1925,Not_MO,0.0,0.13,28.79,30.14, 8.8,03,9.4
2521,15,2012-05-12,80,31,56, 1,35,47,9, 0,0426,1859,MO,0.0,0.00,29.69,30.08, 5.0,29,5.2
2522,16,2012-05-12,78,39,59,M,36,49,6, 0,-,-,MO,M,0.00,29.95,30.06, 6.6,29,6.9
2523,17,2012-05-12,74,61,68,M,57,61,0, 3,-,-,Not_MO,0.0,0.26,29.49,30.17, 2.7,35,3.5
2524,18,2012-05-12,72,63,68,-5,60,63,0, 3,0531,1916,Not_MO,0.0,0.00,29.57,30.07, 4.3,02,4.9
2525,19,2012-05-12,69,50,60, 5,41,49,5, 0,0432,1903,MO,0.0,  T,29.49,30.23, 8.6,02,9.5
2526,20,2012-05-12,74,60,67,M,60,63,0, 2,-,-,Not_MO,0.0,  T,29.37,30.06, 4.5,01,4.8
2527,1,2012-05-13,85,51,68,M,47,57,0, 3,-,-,MO,M,0.00,29.94,30.11, 2.7,22,4.4
2528,2,2012-05-13,80,57,69,14,44,56,0, 4,0429,1860,MO,0.0,0.00,29.04,30.12, 8.6,25,9.2
2529,3,2012-05-13,80,59,70, 2,56,61,0, 5,0519,1920,MO,0.0,0.00,29.42,30.14, 6.4,36,6.6
2530,4,2012-05-13,84,61,73,-3,57,64,0, 8,0539,1916,MO,0.0,0.00,29.42,30.11, 2.1,36,3.6
2531,6,2012-05-13,85,61,73,-2,59,64,0, 8,0539,1915,MO,0.0,0.00,29.58,30.10, 6.1,01,6.7
2532,7,2012-05-13,77,54,66,M,54,59,0, 1,-,-,Not_MO,0.0,0.00,28.80,30.17, 6.0,01,6.7
2533,8,2012-05-13,82,63,M,M,59,64,M,M,-,-,Not_MO,M,0.00,29.75,M, 3.7,36,3.8
2534,9,2012-05-13,75,45,60,M,39,50,5, 0,-,-,Not_MO,M,0.00,29.39,30.18, 3.9,25,4.4
2535,10,2012-05-13,83,73,78,M,62,68,0,13,0535,1912,Not_MO,M,  T,30.09,30.11, 9.6,14,10.1
2536,11,2012-05-13,82,61,72,-1,M,M,0, 7,0534,1912,MO,0.0,0.00,30.09,M,M,M,7.4
2537,12,2012-05-13,82,63,73,M,62,67,0, 8,-,-,MO,0.0,0.00,30.09,30.12, 6.7,15,6.9
2538,13,2012-05-13,57,39,48,M,40,43,17, 0,-,-,Not_MO,M,0.00,24.47,30.29, 2.0,26,4.5
2539,14,2012-05-13,77,55,66,-2,55,59,0, 1,0528,1925,MO,0.0,0.00,28.79,30.16, 6.3,36,7.3
2540,15,2012-05-13,84,43,64, 9,46,55,1, 0,0425,1901,MO,0.0,0.00,29.72,30.10, 1.8,30,4.3
2541,16,2012-05-13,76,47,62,M,49,55,3, 0,-,-,MO,M,0.00,29.98,30.08, 3.0,15,5.0
2542,17,2012-05-13,80,59,70,M,56,61,0, 5,-,-,MO,0.0,0.00,29.49,30.18, 5.1,01,5.6
2543,18,2012-05-13,82,62,72,-2,58,64,0, 7,0530,1917,MO,0.0,0.00,29.59,30.11, 4.2,36,6.0
2544,19,2012-05-13,67,49,58, 3,32,47,7, 0,0431,1904,MO,0.0,0.00,29.44,30.20, 2.5,08,4.1
2545,20,2012-05-13,83,61,72,M,58,63,0, 7,-,-,MO,0.0,0.00,29.39,30.11, 5.6,36,7.0
2546,1,2012-05-14,71,56,64,M,52,56,1, 0,-,-,Not_MO,M,0.06,29.99,30.16, 1.9,05,3.0
2547,2,2012-05-14,69,56,63, 7,54,58,2, 0,0428,1901,Not_MO,0.0,0.18,29.05,30.15, 3.0,20,6.0
2548,3,2012-05-14,80,54,67,-2,52,59,0, 2,0519,1921,MO,0.0,0.00,29.36,30.09, 4.3,36,5.0
2549,4,2012-05-14,86,63,75,-1,59,64,0,10,0538,1917,Not_MO,0.0,0.33,29.34,30.03, 1.2,02,2.5
2550,6,2012-05-14,85,60,73,-2,59,65,0, 8,0538,1916,Not_MO,0.0,0.60,29.51,30.02, 1.8,04,4.7
2551,7,2012-05-14,79,55,67,M,53,59,0, 2,-,-,Not_MO,0.0,0.00,28.73,30.10, 1.3,07,2.6
2552,8,2012-05-14,84,63,M,M,59,65,M,M,-,-,Not_MO,M,0.00,29.67,M, 0.3,08,0.9
2553,9,2012-05-14,85,50,68,M,44,56,0, 3,-,-,MO,M,0.00,29.15,29.94, 5.1,22,5.8
2554,10,2012-05-14,86,69,78,M,66,70,0,13,0534,1912,Not_MO,M,2.84,29.98,30.00, 7.6,17,8.6
2555,11,2012-05-14,85,66,76, 3,68,70,0,11,0533,1913,Not_MO,0.0,1.75,29.96,30.00, 4.7,16,5.7
2556,12,2012-05-14,88,67,78,M,65,69,0,13,-,-,Not_MO,0.0,1.15,29.96,30.00, 4.8,18,7.3
2557,13,2012-05-14,73,38,56,M,22,42,9, 0,-,-,MO,M,0.00,24.41,30.18, 1.9,20,5.2
2558,14,2012-05-14,79,59,69, 1,53,59,0, 4,0527,1926,MO,0.0,0.00,28.72,30.10, 1.9,06,3.4
2559,15,2012-05-14,66,53,60, 4,54,56,5, 0,0424,1901,Not_MO,0.0,0.25,29.77,30.15, 1.4,15,2.5
2560,16,2012-05-14,68,52,60,M,51,53,5, 0,-,-,Not_MO,M,0.19,30.03,30.14, 1.3,11,3.1
2561,17,2012-05-14,81,55,68,M,51,58,0, 3,-,-,MO,0.0,0.00,29.42,30.13, 1.7,02,2.5
2562,18,2012-05-14,85,62,74, 0,56,63,0, 9,0529,1918,MO,0.0,0.00,29.52,30.05, 3.7,04,5.0
2563,19,2012-05-14,79,52,66,11,34,50,0, 1,0430,1906,Not_MO,0.0,0.00,29.27,30.04, 3.4,22,5.8
2564,20,2012-05-14,85,61,73,M,56,63,0, 8,-,-,MO,0.0,0.00,29.33,30.04, 3.3,03,4.8
2565,1,2012-05-15,74,60,67,M,56,60,0, 2,-,-,Not_MO,M,0.37,29.96,30.10, 4.2,18,5.5
2566,2,2012-05-15,69,57,63, 7,55,58,2, 0,0427,1901,Not_MO,0.0,0.52,29.02,30.08, 8.3,18,9.7
2567,3,2012-05-15,85,52,69, 0,50,59,0, 4,0518,1922,MO,0.0,0.00,29.31,30.03, 0.6,13,2.5
2568,4,2012-05-15,74,61,68,-8,62,63,0, 3,0537,1917,Not_MO,0.0,0.88,29.36,30.05, 0.6,09,1.4
