,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,dayofweek,is_holiday
3783,16,2012-07-15,90,68,79,M,67,71,0,14,-,-,RA,M,  T,29.88,29.97, 4.0,21,5.0,Sun,holiday
3784,17,2012-07-15,94,66,80,M,66,70,0,15,-,-,MO,0.0,0.00,29.33,30.01, 3.3,14,4.4,Sun,holiday
3785,18,2012-07-15,90,73,82,-5,69,72,0,17,0530,1937,AN,0.0,0.16,29.44,29.96, 2.8,14,5.9,Sun,holiday
3786,19,2012-07-15,88,72,80, 8,67,71,0,15,0426,1929,MO,0.0,0.00,29.26,30.00, 2.3,16,7.5,Sun,holiday
3787,20,2012-07-15,92,71,82,M,69,71,0,17,-,-,"RA,BR",0.0,0.06,29.25,29.95, 2.8,15,6.1,Sun,holiday
3788,1,2012-07-16,92,73,83,M,68,72,0,18,-,-,RA,M,0.02,29.65,29.79, 2.9,30,5.3,Mon,holiday
3789,2,2012-07-16,87,69,78, 7,66,70,0,13,0425,1922,MO,0.0,  T,28.77,29.82, 9.7,29,9.9,Mon,holiday
3790,3,2012-07-16,96,74,85, 1,67,73,0,20,0518,1941,MO,0.0,0.00,29.19,29.90,11.0,17,11.5,Mon,holiday
3791,4,2012-07-16,93,69,81,-4,70,74,0,16,0540,1934,MO,0.0,0.00,29.27,29.95, 2.1,16,3.8,Mon,holiday
3792,5,2012-07-16,M,M,M,M,M,M,M,M,0422,1919,MO,M,M,M,M,M,M,M,Mon,holiday
3793,6,2012-07-16,93,69,81,-3,71,74,0,16,0540,1934,MO,0.0,0.00,29.43,29.94, 5.5,16,5.6,Mon,holiday
3794,7,2012-07-16,95,73,84,M,64,71,0,19,-,-,MO,0.0,0.00,28.54,29.89,12.9,17,13.1,Mon,holiday
3795,8,2012-07-16,91,70,M,M,70,74,M,M,-,-,AN,M,0.00,29.62,M, 3.9,16,4.2,Mon,holiday
3796,9,2012-07-16,97,73,85,M,67,73,0,20,-,-,MO,M,0.00,29.02,29.77, 9.2,20,10.4,Mon,holiday
3797,10,2012-07-16,89,79,84,M,72,75,0,19,0536,1930,AN,M,0.18,30.01,30.02, 2.6,13,5.7,Mon,holiday
3798,11,2012-07-16,88,73,81,-1,72,74,0,16,0535,1930,"TS,RA",0.0,0.05,30.00,30.02, 1.8,09,2.9,Mon,holiday
3799,12,2012-07-16,88,71,80,M,72,74,0,15,-,-,"TS,RA,RA",0.0,0.59,29.99,30.03, 1.6,14,2.5,Mon,holiday
3800,13,2012-07-16,90,59,75,M,51,59,0,10,-,-,"TS,RA,RA",M,0.36,24.25,29.85, 2.4,20,7.2,Mon,holiday
3801,14,2012-07-16,95,71,83, 1,64,70,0,18,0527,1946,MO,0.0,0.00,28.54,29.89,11.7,17,11.9,Mon,holiday
3802,15,2012-07-16,89,67,78, 8,68,71,0,13,0421,1924,BR,0.0,0.01,29.42,29.79, 4.6,32,4.8,Mon,holiday
3803,16,2012-07-16,90,70,80,M,68,71,0,15,-,-,MO,M,  T,29.67,29.76, 1.3,30,6.4,Mon,holiday
3804,17,2012-07-16,96,74,85,M,66,73,0,20,-,-,MO,0.0,0.00,29.26,29.95, 7.7,19,7.9,Mon,holiday
3805,18,2012-07-16,95,72,84,-3,68,73,0,19,0531,1936,MO,0.0,0.00,29.43,29.94, 8.9,17,9.7,Mon,holiday
3806,19,2012-07-16,98,75,87,15,66,73,0,22,0427,1928,MO,0.0,0.00,29.13,29.88,11.6,23,11.9,Mon,holiday
3807,20,2012-07-16,95,70,83,M,69,73,0,18,-,-,MO,0.0,0.00,29.24,29.94, 6.3,16,7.2,Mon,holiday
3808,1,2012-07-17,96,69,83,M,66,72,0,18,-,-,RA,M,  T,29.57,29.72, 7.6,22,8.1,Tue,holiday
3809,2,2012-07-17,92,72,82,11,65,71,0,17,0426,1922,MO,0.0,0.00,28.71,29.76, 9.8,24,11.1,Tue,holiday
3810,3,2012-07-17,100,79,90, 6,65,73,0,25,0519,1940,MO,0.0,0.00,29.16,29.86,11.2,19,11.8,Tue,holiday
3811,4,2012-07-17,90,76,83,-2,73,75,0,18,0540,1934,MO,0.0,  T,29.27,29.94, 4.2,15,5.4,Tue,holiday
3812,5,2012-07-17,M,M,M,M,M,M,M,M,0423,1918,MO,M,M,M,M,M,M,M,Tue,holiday
3813,6,2012-07-17,89,73,81,-3,73,76,0,16,0540,1933,MO,0.0,  T,29.43,29.93, 4.7,14,5.1,Tue,holiday
3814,7,2012-07-17,99,73,86,M,62,71,0,21,-,-,MO,0.0,0.00,28.53,29.86,15.4,19,15.9,Tue,holiday
3815,8,2012-07-17,86,77,M,M,72,74,M,M,-,-,RA,M,0.01,29.60,M, 2.5,16,2.9,Tue,holiday
3816,9,2012-07-17,92,75,84,M,71,74,0,19,-,-,MO,M,  T,29.06,29.80, 4.4,03,5.7,Tue,holiday
3817,10,2012-07-17,91,75,83,M,70,74,0,18,0536,1929,RA,M,0.75,29.95,29.98, 1.6,22,3.9,Tue,holiday
3818,11,2012-07-17,90,73,82, 0,71,74,0,17,0536,1930,MO,0.0,0.00,29.94,29.98, 1.4,16,2.5,Tue,holiday
3819,12,2012-07-17,90,74,82,M,71,74,0,17,-,-,RA,0.0,  T,29.93,29.99, 1.8,17,3.0,Tue,holiday
3820,13,2012-07-17,87,59,73,M,48,58,0, 8,-,-,MO,M,  T,24.29,29.88, 1.4,21,5.8,Tue,holiday
3821,14,2012-07-17,99,71,85, 3,62,70,0,20,0528,1945,MO,0.0,0.00,28.53,29.86,12.2,18,12.8,Tue,holiday
3822,15,2012-07-17,95,64,80,10,68,71,0,15,0421,1923,"RA,BR",0.0,0.37,29.36,29.71, 3.4,21,4.5,Tue,holiday
3823,16,2012-07-17,95,68,82,M,66,72,0,17,-,-,BR,M,0.00,29.60,29.69, 7.7,24,8.2,Tue,holiday
3824,17,2012-07-17,100,75,88,M,65,73,0,23,-,-,MO,0.0,0.00,29.23,29.91, 8.0,19,8.2,Tue,holiday
3825,18,2012-07-17,98,77,88, 1,68,74,0,23,0531,1936,MO,0.0,0.00,29.41,29.91, 9.5,18,10.0,Tue,holiday
3826,19,2012-07-17,100,73,87,15,68,73,0,22,0428,1928,MO,0.0,0.00,29.10,29.82, 5.4,29,9.8,Tue,holiday
3827,20,2012-07-17,97,75,86,M,69,74,0,21,-,-,MO,0.0,0.00,29.23,29.91, 4.9,18,6.8,Tue,holiday
3828,1,2012-07-18,89,73,81,M,69,M,0,16,-,-,AN,M,0.15,M,M, 1.2,33,3.9,Wed,holiday
3829,2,2012-07-18,91,71,81,10,69,72,0,16,0427,1921,RA,0.0,0.03,28.74,29.82, 5.8,27,8.1,Wed,holiday
3830,3,2012-07-18,103,80,92, 8,64,73,0,27,0520,1940,MO,0.0,0.00,29.20,29.89, 9.7,20,10.3,Wed,holiday
3831,4,2012-07-18,92,76,84,-1,73,76,0,19,0541,1934,MO,0.0,0.00,29.32,29.98, 2.6,18,4.4,Wed,holiday
3832,5,2012-07-18,M,M,M,M,M,M,M,M,0424,1918,MO,M,M,M,M,M,M,M,Wed,holiday
3833,6,2012-07-18,91,74,83,-1,73,75,0,18,0541,1933,MO,0.0,  T,29.47,29.98, 4.5,18,5.0,Wed,holiday
3834,7,2012-07-18,100,77,89,M,64,72,0,24,-,-,MO,0.0,0.00,28.58,29.90,12.4,19,12.7,Wed,holiday
3835,8,2012-07-18,90,73,M,M,71,74,M,M,-,-,AN,M,0.03,29.64,M, 1.9,18,2.2,Wed,holiday
3836,9,2012-07-18,82,71,77,M,69,71,0,12,-,-,"RA,BR",M,0.65,29.15,29.87, 5.8,08,7.1,Wed,holiday
3837,10,2012-07-18,90,75,83,M,72,74,0,18,0537,1929,"RA,TS",M,0.21,30.01,30.05, 5.9,21,6.6,Wed,holiday
3838,11,2012-07-18,90,71,81,-1,72,74,0,16,0536,1930,AN,0.0,  T,29.98,30.04, 4.7,22,5.5,Wed,holiday
3839,12,2012-07-18,92,75,84,M,72,74,0,19,-,-,RA,0.0,0.01,29.98,30.05, 4.0,22,4.6,Wed,holiday
3840,13,2012-07-18,92,58,75,M,46,58,0,10,-,-,"TS,RA,RA",M,  T,24.36,29.95, 6.0,19,8.5,Wed,holiday
3841,14,2012-07-18,101,74,88, 6,65,72,0,23,0529,1945,MO,0.0,0.00,28.58,29.91, 9.5,19,10.0,Wed,holiday
3842,15,2012-07-18,87,65,76, 6,64,68,0,11,0422,1922,BR,0.0,0.00,29.41,29.81, 4.2,34,4.6,Wed,holiday
3843,16,2012-07-18,88,71,80,M,70,73,0,15,-,-,"TS,RA",M,1.09,29.65,29.78, 1.5,30,4.8,Wed,holiday
3844,17,2012-07-18,104,75,90,M,64,73,0,25,-,-,MO,0.0,0.00,29.26,29.93, 6.0,21,6.2,Wed,holiday
3845,18,2012-07-18,99,77,88, 1,68,75,0,23,0532,1936,MO,0.0,0.00,29.45,29.95, 7.6,18,8.1,Wed,holiday
3846,19,2012-07-18,81,70,76, 4,69,71,0,11,0429,1927,"TS,RA,BR",0.0,0.54,29.18,29.91, 8.0,05,8.3,Wed,holiday
3847,20,2012-07-18,99,76,88,M,69,75,0,23,-,-,MO,0.0,0.00,29.26,29.95, 4.2,18,5.8,Wed,holiday
3848,1,2012-07-19,84,65,75,M,56,M,0,10,-,-,MO,M,0.00,29.83,M, 1.4,03,3.4,Thi,holiday
3849,2,2012-07-19,80,66,73, 2,52,61,0, 8,0428,1920,MO,0.0,0.00,28.90,29.98, 2.6,01,5.6,Thi,holiday
3850,3,2012-07-19,107,76,92, 8,67,74,0,27,0520,1939,"TS,RA",0.0,0.32,29.23,29.92, 5.5,22,8.3,Thi,holiday
3851,4,2012-07-19,95,74,85, 0,71,75,0,20,0542,1933,MO,0.0,0.00,29.38,30.04, 1.9,19,3.5,Thi,holiday
3852,5,2012-07-19,M,M,M,M,M,M,M,M,0425,1917,MO,M,M,M,M,M,M,M,Thi,holiday
3853,6,2012-07-19,94,71,83,-1,72,75,0,18,0542,1932,MO,0.0,0.00,29.54,30.04, 4.8,20,5.2,Thi,holiday
3854,7,2012-07-19,104,80,92,M,62,72,0,27,-,-,MO,0.0,0.00,28.63,29.95, 8.1,19,11.4,Thi,holiday
3855,8,2012-07-19,93,73,M,M,71,75,M,M,-,-,AN,M,0.00,29.70,M, 4.0,20,4.2,Thi,holiday
3856,9,2012-07-19,84,69,77,M,66,69,0,12,-,-,MO,M,0.00,29.27,30.00, 2.8,06,4.8,Thi,holiday
3857,10,2012-07-19,89,77,83,M,73,75,0,18,0537,1929,AN,M,0.08,30.08,30.11, 7.0,21,7.9,Thi,holiday
3858,11,2012-07-19,87,73,80,-2,74,75,0,15,0537,1929,AN,0.0,0.40,30.06,30.10, 6.2,21,6.7,Thi,holiday
3859,12,2012-07-19,90,76,83,M,73,75,0,18,-,-,RA,0.0,0.09,30.06,30.11, 5.4,21,5.8,Thi,holiday
3860,13,2012-07-19,94,61,78,M,44,59,0,13,-,-,MO,M,0.00,24.39,29.99, 8.3,16,9.2,Thi,holiday
3861,14,2012-07-19,104,78,91, 9,62,71,0,26,0529,1944,MO,0.0,0.00,28.63,29.95, 5.9,20,10.0,Thi,holiday
3862,15,2012-07-19,81,53,67,-3,52,59,0, 2,0423,1922,MO,0.0,0.00,29.59,29.98, 3.5,34,4.5,Thi,holiday
3863,16,2012-07-19,77,63,70,M,59,64,0, 5,-,-,MO,M,0.01,29.83,29.95, 2.5,12,3.8,Thi,holiday
3864,17,2012-07-19,107,74,91,M,66,74,0,26,-,-,RA,0.0,0.23,29.29,29.97, 3.5,21,4.8,Thi,holiday
3865,18,2012-07-19,101,79,90, 3,66,74,0,25,0532,1935,MO,0.0,0.00,29.49,30.00, 5.2,21,6.8,Thi,holiday
3866,19,2012-07-19,80,67,74, 2,68,69,0, 9,0430,1926,"RA,BR",0.0,0.39,29.21,29.93, 5.9,02,9.2,Thi,holiday
3867,20,2012-07-19,100,79,90,M,67,74,0,25,-,-,MO,0.0,0.00,29.31,30.00, 2.9,20,5.5,Thi,holiday
3868,1,2012-07-20,75,57,66,M,56,61,0, 1,-,-,MO,M,0.00,29.91,30.08, 3.2,07,4.1,Fri,holiday
3869,2,2012-07-20,69,57,63,-8,55,59,2, 0,0428,1919,MO,0.0,0.00,28.98,30.07, 3.7,07,4.6,Fri,holiday
3870,3,2012-07-20,106,73,90, 6,64,73,0,25,0521,1939,MO,0.0,0.00,29.23,29.92, 5.5,03,6.7,Fri,holiday
3871,4,2012-07-20,98,75,87, 2,69,75,0,22,0542,1933,MO,0.0,0.00,29.34,30.01, 2.5,20,3.5,Fri,holiday
3872,5,2012-07-20,M,M,M,M,M,M,M,M,0426,1916,MO,M,M,M,M,M,M,M,Fri,holiday
3873,6,2012-07-20,96,75,86, 2,71,75,0,21,0542,1932,MO,0.0,0.00,29.49,30.01, 6.6,20,7.1,Fri,holiday
3874,7,2012-07-20,108,81,95,M,57,71,0,30,-,-,MO,0.0,0.00,28.61,29.93, 1.7,15,8.8,Fri,holiday
3875,8,2012-07-20,95,75,M,M,70,75,M,M,-,-,BR,M,0.00,29.68,M, 5.3,21,6.1,Fri,holiday
3876,9,2012-07-20,86,66,76,M,65,69,0,11,-,-,RA,M,0.01,29.29,30.05, 6.2,16,6.9,Fri,holiday
3877,10,2012-07-20,97,78,88,M,71,76,0,23,0538,1928,MO,M,0.00,30.05,30.07, 8.2,21,9.0,Fri,holiday
3878,11,2012-07-20,93,73,83, 1,73,76,0,18,0537,1929,MO,0.0,0.00,30.03,30.07, 7.2,22,7.6,Fri,holiday
3879,12,2012-07-20,96,76,86,M,72,76,0,21,-,-,MO,0.0,0.00,30.03,30.08, 7.1,22,7.2,Fri,holiday
3880,13,2012-07-20,94,61,78,M,43,59,0,13,-,-,MO,M,0.00,24.40,29.98, 7.6,16,8.5,Fri,holiday
3881,14,2012-07-20,109,78,94,12,57,70,0,29,0530,1944,MO,0.0,0.00,28.60,29.93, 1.1,13,7.8,Fri,holiday
3882,15,2012-07-20,76,53,65,-6,53,58,0, 0,0424,1921,MO,0.0,0.00,29.69,30.07, 1.0,15,2.2,Fri,holiday
3883,16,2012-07-20,72,55,64,M,57,61,1, 0,-,-,MO,M,0.00,29.93,30.04, 2.8,06,3.7,Fri,holiday
3884,17,2012-07-20,106,72,89,M,64,73,0,24,-,-,BR,0.0,0.00,29.28,29.96, 4.8,03,4.9,Fri,holiday
3885,18,2012-07-20,106,80,93, 6,68,74,0,28,0533,1935,RA,0.0,0.09,29.45,29.96, 3.1,25,7.4,Fri,holiday
3886,19,2012-07-20,77,66,72,-1,59,65,0, 7,0430,1926,MO,0.0,0.00,29.34,30.07, 7.3,06,8.2,Fri,holiday
3887,20,2012-07-20,105,76,91,M,68,74,0,26,-,-,RA,0.0,0.29,29.26,29.96, 5.0,26,8.2,Fri,holiday
3888,1,2012-07-21,83,54,69,M,52,60,0, 4,-,-,BR,M,  T,29.94,30.10, 2.0,12,3.6,Sat,holiday
3889,2,2012-07-21,79,54,67,-4,52,58,0, 2,0429,1919,MO,0.0,0.00,29.02,30.11, 3.1,15,5.4,Sat,holiday
3890,3,2012-07-21,104,67,86, 2,61,70,0,21,0522,1938,MO,0.0,0.00,29.23,29.93, 4.1,07,6.4,Sat,holiday
3891,4,2012-07-21,100,75,88, 3,68,74,0,23,0543,1932,MO,0.0,0.00,29.28,29.94, 2.3,18,4.1,Sat,holiday
3892,5,2012-07-21,M,M,M,M,M,M,M,M,0426,1915,MO,M,M,M,M,M,M,M,Sat,holiday
3893,6,2012-07-21,98,75,87, 3,69,74,0,22,0543,1932,MO,0.0,0.00,29.44,29.94, 5.5,19,6.5,Sat,holiday
3894,7,2012-07-21,105,73,89,M,56,69,0,24,-,-,MO,0.0,0.00,28.60,29.92, 7.9,07,8.5,Sat,holiday
3895,8,2012-07-21,95,75,M,M,70,75,M,M,-,-,HZ,M,0.00,29.62,M, 5.7,20,6.5,Sat,holiday
3896,9,2012-07-21,87,69,78,M,69,72,0,13,-,-,RA,M,1.03,29.26,30.00, 2.5,12,4.1,Sat,holiday
3897,10,2012-07-21,97,78,88,M,72,76,0,23,0539,1928,AN,M,0.00,30.06,30.08, 5.8,15,7.2,Sat,holiday
3898,11,2012-07-21,93,71,82, 0,73,76,0,17,0538,1928,AN,0.0,0.00,30.04,30.09, 3.0,12,3.6,Sat,holiday
3899,12,2012-07-21,93,73,83,M,73,76,0,18,-,-,MO,0.0,0.00,30.04,30.09, 4.1,16,5.1,Sat,holiday
3900,13,2012-07-21,95,61,78,M,43,58,0,13,-,-,MO,M,0.00,24.39,29.96, 2.6,20,5.8,Sat,holiday
3901,14,2012-07-21,104,79,92, 9,55,68,0,27,0531,1943,MO,0.0,0.00,28.59,29.92, 8.6,08,9.4,Sat,holiday
3902,15,2012-07-21,82,49,66,-5,51,58,0, 1,0425,1920,MO,0.0,0.00,29.70,30.08, 2.6,17,3.2,Sat,holiday
3903,16,2012-07-21,76,52,64,M,55,59,1, 0,-,-,MO,M,0.01,29.96,30.07, 3.2,14,4.9,Sat,holiday
3904,17,2012-07-21,104,73,89,M,59,70,0,24,-,-,MO,0.0,0.00,29.29,29.96, 5.3,06,6.2,Sat,holiday
3905,18,2012-07-21,108,77,93, 6,66,75,0,28,0534,1934,MO,0.0,0.00,29.39,29.89, 1.8,18,5.6,Sat,holiday
3906,19,2012-07-21,87,67,77, 4,62,68,0,12,0431,1925,MO,0.0,0.00,29.30,30.04, 7.5,24,7.8,Sat,holiday
3907,20,2012-07-21,108,79,94,M,66,74,0,29,-,-,RA,0.0,0.02,29.20,29.89, 1.6,20,5.1,Sat,holiday
3908,1,2012-07-22,89,61,75,M,57,64,0,10,-,-,MO,M,0.00,29.95,30.11, 6.0,21,6.8,Sun,holiday
3909,2,2012-07-22,83,58,71, 0,56,62,0, 6,0430,1918,MO,0.0,0.00,29.05,30.13, 9.2,23,10.5,Sun,holiday
3910,3,2012-07-22,103,76,90, 6,63,72,0,25,0523,1937,MO,0.0,0.00,29.26,29.96, 6.7,13,7.1,Sun,holiday
3911,4,2012-07-22,94,75,85, 0,70,74,0,20,0543,1932,MO,0.0,0.00,29.31,29.97, 3.2,16,5.2,Sun,holiday
3912,5,2012-07-22,M,M,M,M,M,M,M,M,0427,1915,MO,M,M,M,M,M,M,M,Sun,holiday
3913,6,2012-07-22,95,74,85, 1,70,75,0,20,0543,1931,MO,0.0,0.00,29.47,29.96, 6.5,17,6.9,Sun,holiday
3914,7,2012-07-22,102,81,92,M,62,72,0,27,-,-,MO,0.0,0.00,28.62,29.94, 9.1,13,10.2,Sun,holiday
3915,8,2012-07-22,93,77,M,M,70,74,M,M,-,-,BR,M,0.00,29.65,M, 4.7,18,5.9,Sun,holiday
3916,9,2012-07-22,88,74,81,M,71,74,0,16,-,-,MO,M,  T,29.15,29.91, 4.5,15,5.2,Sun,holiday
3917,10,2012-07-22,96,81,89,M,72,76,0,24,0539,1927,MO,M,0.00,30.10,30.14, 7.4,13,8.8,Sun,holiday
3918,11,2012-07-22,92,75,84, 2,73,76,0,19,0539,1928,MO,0.0,0.00,30.09,30.15, 5.6,13,6.6,Sun,holiday
3919,12,2012-07-22,92,75,84,M,73,76,0,19,-,-,MO,0.0,0.00,30.09,30.15, 4.9,13,5.6,Sun,holiday
3920,13,2012-07-22,91,67,79,M,49,60,0,14,-,-,AN,M,  T,24.40,29.99, 3.2,32,5.5,Sun,holiday
3921,14,2012-07-22,102,79,91, 8,63,72,0,26,0531,1942,MO,0.0,0.00,28.61,29.94, 9.4,13,9.8,Sun,holiday
3922,15,2012-07-22,87,53,70,-1,57,63,0, 5,0426,1919,MO,0.0,0.00,29.70,30.08, 2.8,19,3.7,Sun,holiday
3923,16,2012-07-22,83,57,70,M,58,64,0, 5,-,-,MO,M,0.00,29.98,30.08, 6.2,19,7.2,Sun,holiday
3924,17,2012-07-22,102,74,88,M,62,71,0,23,-,-,MO,0.0,0.00,29.33,30.00, 4.1,13,4.8,Sun,holiday
3925,18,2012-07-22,102,81,92, 5,67,74,0,27,0534,1934,MO,0.0,0.00,29.44,29.94, 9.6,16,10.5,Sun,holiday
3926,19,2012-07-22,89,73,81, 8,65,70,0,16,0432,1924,MO,0.0,  T,29.26,30.01, 6.8,23,8.4,Sun,holiday
3927,20,2012-07-22,102,79,91,M,67,74,0,26,-,-,MO,0.0,0.00,29.26,29.94, 7.3,15,8.3,Sun,holiday
3928,1,2012-07-23,88,66,77,M,65,69,0,12,-,-,RA,M,0.05,29.82,29.94, 7.3,21,7.7,Mon,holiday
3929,2,2012-07-23,84,64,74, 3,65,67,0, 9,0431,1917,"RA,BR",0.0,0.01,28.92,29.97,10.4,23,10.7,Mon,holiday
3930,3,2012-07-23,101,82,92, 8,67,75,0,27,0523,1937,MO,0.0,0.00,29.28,29.98,10.8,17,11.1,Mon,holiday
3931,4,2012-07-23,95,76,86, 0,70,75,0,21,0544,1931,MO,0.0,0.00,29.37,30.03, 3.7,16,6.4,Mon,holiday
3932,5,2012-07-23,M,M,M,M,M,M,M,M,0428,1914,MO,M,M,M,M,M,M,M,Mon,holiday
3933,6,2012-07-23,95,75,85, 1,71,75,0,20,0544,1931,BR,0.0,0.00,29.52,30.02, 8.3,17,8.7,Mon,holiday
3934,7,2012-07-23,101,78,90,M,63,72,0,25,-,-,MO,0.0,0.00,28.64,29.97,13.5,16,13.8,Mon,holiday
3935,8,2012-07-23,91,77,M,M,72,75,M,M,-,-,BR,M,0.00,29.70,M, 5.0,16,5.3,Mon,holiday
3936,9,2012-07-23,95,74,85,M,68,73,0,20,-,-,BR,M,  T,29.18,29.91, 3.4,35,4.4,Mon,holiday
3937,10,2012-07-23,94,79,87,M,71,75,0,22,0540,1927,AN,M,0.21,30.13,30.14, 6.8,16,8.4,Mon,holiday
3938,11,2012-07-23,91,72,82, 0,72,75,0,17,0539,1927,MO,0.0,0.00,30.12,30.14, 4.2,15,6.5,Mon,holiday
3939,12,2012-07-23,91,74,83,M,72,75,0,18,-,-,MO,0.0,0.00,30.11,30.15, 4.9,16,6.4,Mon,holiday
3940,13,2012-07-23,95,60,78,M,47,59,0,13,-,-,MO,M,0.00,24.34,29.94, 3.1,23,6.7,Mon,holiday
3941,14,2012-07-23,101,74,88, 5,64,72,0,23,0532,1942,MO,0.0,0.00,28.64,29.97,11.6,16,11.8,Mon,holiday
3942,15,2012-07-23,89,62,76, 5,65,69,0,11,0427,1918,"RA,BR,TS",0.0,0.07,29.57,29.91, 4.0,18,5.4,Mon,holiday
3943,16,2012-07-23,85,65,75,M,66,69,0,10,-,-,MO,M,0.01,29.85,29.92, 8.8,22,9.0,Mon,holiday
3944,17,2012-07-23,102,80,91,M,65,74,0,26,-,-,MO,0.0,0.00,29.34,30.02, 6.8,17,7.6,Mon,holiday
3945,18,2012-07-23,99,79,89, 2,67,74,0,24,0535,1933,MO,0.0,  T,M,30.01,10.8,17,11.1,Mon,holiday
3946,19,2012-07-23,99,78,89,16,67,74,0,24,0433,1923,MO,0.0,  T,29.15,29.88, 9.5,26,10.9,Mon,holiday
3947,20,2012-07-23,98,77,88,M,67,74,0,23,-,-,MO,0.0,0.00,29.33,30.01, 7.4,16,8.5,Mon,holiday
3948,1,2012-07-24,93,68,81,M,65,70,0,16,-,-,"RA,TS",M,0.07,29.46,29.63, 3.2,26,7.7,Tue,holiday
3949,2,2012-07-24,87,63,75, 4,64,68,0,10,0432,1916,"TS,RA,RA",0.0,0.22,28.59,29.66, 9.9,28,12.2,Tue,holiday
3950,3,2012-07-24,101,80,91, 7,66,74,0,26,0524,1936,MO,0.0,0.00,29.20,29.91,12.5,18,12.8,Tue,holiday
3951,4,2012-07-24,96,77,87, 1,72,76,0,22,0545,1931,MO,0.0,0.00,29.32,30.00, 5.5,16,7.0,Tue,holiday
3952,5,2012-07-24,M,M,M,M,M,M,M,M,0429,1913,MO,M,M,M,M,M,M,M,Tue,holiday
3953,6,2012-07-24,95,74,85, 1,72,76,0,20,0544,1930,BR,0.0,0.00,29.48,29.99, 8.1,17,8.6,Tue,holiday
3954,7,2012-07-24,100,78,89,M,64,72,0,24,-,-,MO,0.0,0.00,28.57,29.91,16.4,18,16.8,Tue,holiday
3955,8,2012-07-24,93,73,M,M,72,75,M,M,-,-,AN,M,0.00,29.67,M, 5.2,17,5.5,Tue,holiday
3956,9,2012-07-24,81,70,76,M,70,72,0,11,-,-,"RA,BR",M,0.57,29.13,29.89, 6.0,12,6.7,Tue,holiday
3957,10,2012-07-24,94,76,85,M,70,75,0,20,0540,1926,RA,M,0.02,30.05,30.06, 8.1,21,8.9,Tue,holiday
3958,11,2012-07-24,92,71,82, 0,72,75,0,17,0540,1927,MO,0.0,0.00,30.03,30.05, 6.8,22,7.2,Tue,holiday
3959,12,2012-07-24,94,74,84,M,70,75,0,19,-,-,MO,0.0,0.00,30.03,30.06, 7.6,23,7.8,Tue,holiday
3960,13,2012-07-24,92,62,77,M,47,59,0,12,-,-,"TS,RA",M,0.02,24.24,29.81, 0.6,29,5.1,Tue,holiday
3961,14,2012-07-24,100,77,89, 6,65,72,0,24,0533,1941,MO,0.0,0.00,28.57,29.91,13.3,18,13.8,Tue,holiday
3962,15,2012-07-24,87,63,75, 4,63,67,0,10,0428,1917,"RA,BR,TS",0.0,0.13,29.25,29.62, 7.9,32,9.3,Tue,holiday
3963,16,2012-07-24,89,66,78,M,67,69,0,13,-,-,AN,M,0.23,29.49,29.59, 3.4,27,7.7,Tue,holiday
3964,17,2012-07-24,102,78,90,M,65,74,0,25,-,-,MO,0.0,0.00,29.26,29.95, 8.5,19,8.6,Tue,holiday
3965,18,2012-07-24,98,78,88, 1,68,74,0,23,0536,1932,MO,0.0,0.00,29.46,29.97,10.9,18,11.5,Tue,holiday
3966,19,2012-07-24,86,71,M,M,65,68,M,M,0434,1922,"TS,RA,RA",0.0,0.15,29.23,29.96, 6.7,04,7.7,Tue,holiday
3967,20,2012-07-24,97,76,87,M,68,74,0,22,-,-,MO,0.0,0.00,29.27,29.97, 6.3,17,8.0,Tue,holiday
3968,1,2012-07-25,84,62,73,M,51,60,0, 8,-,-,MO,M,0.00,29.62,29.79, 7.1,33,7.4,Wed,holiday
3969,2,2012-07-25,81,59,70,-1,50,58,0, 5,0433,1915,MO,0.0,0.00,28.74,29.81, 8.8,32,9.1,Wed,holiday
3970,3,2012-07-25,104,81,93, 9,67,75,0,28,0525,1935,MO,0.0,0.00,29.08,29.78,14.5,18,14.7,Wed,holiday
3971,4,2012-07-25,96,76,86, 0,71,75,0,21,0545,1930,MO,0.0,0.00,29.23,29.91, 6.1,18,7.2,Wed,holiday
3972,5,2012-07-25,M,M,M,M,M,M,M,M,0430,1912,MO,M,M,M,M,M,M,M,Wed,holiday
3973,6,2012-07-25,95,74,85, 1,72,76,0,20,0545,1930,MO,0.0,0.00,29.39,29.91,11.0,18,11.4,Wed,holiday
3974,7,2012-07-25,103,82,93,M,63,73,0,28,-,-,MO,0.0,0.00,28.45,29.78,18.5,19,19.1,Wed,holiday
3975,8,2012-07-25,95,73,M,M,71,75,M,M,-,-,"BR,HZ",M,0.00,29.59,M, 7.1,18,7.2,Wed,holiday
3976,9,2012-07-25,90,74,82,M,71,74,0,17,-,-,RA,M,0.01,28.88,29.63, 0.8,35,8.8,Wed,holiday
3977,10,2012-07-25,98,78,88,M,72,76,0,23,0541,1926,MO,M,0.00,29.95,29.97, 5.3,21,7.4,Wed,holiday
3978,11,2012-07-25,95,73,84, 2,74,76,0,19,0540,1926,AN,0.0,0.00,29.93,29.97, 2.9,23,4.0,Wed,holiday
