,station_nbr,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
3841,14,101.0,74.0,88.0,65.0,72.0,0.0,23.0,moderate,0.0,0.0,28.58,29.91,9.5,19.0,10.0
3842,15,87.0,65.0,76.0,64.0,68.0,0.0,11.0,BR,0.0,0.0,29.41,29.81,4.2,34.0,4.6
3844,17,104.0,75.0,90.0,64.0,73.0,0.0,25.0,moderate,0.0,0.0,29.26,29.93,6.0,21.0,6.2
3845,18,99.0,77.0,88.0,68.0,75.0,0.0,23.0,moderate,0.0,0.0,29.45,29.95,7.6,18.0,8.1
3846,19,81.0,70.0,76.0,69.0,71.0,0.0,11.0,TSRA BR,0.0,0.54,29.18,29.91,8.0,5.0,8.3
3847,20,99.0,76.0,88.0,69.0,75.0,0.0,23.0,moderate,0.0,0.0,29.26,29.95,4.2,18.0,5.8
3849,2,80.0,66.0,73.0,52.0,61.0,0.0,8.0,moderate,0.0,0.0,28.9,29.98,2.6,1.0,5.6
3850,3,107.0,76.0,92.0,67.0,74.0,0.0,27.0,TSRA,0.0,0.32,29.23,29.92,5.5,22.0,8.3
3851,4,95.0,74.0,85.0,71.0,75.0,0.0,20.0,moderate,0.0,0.0,29.38,30.04,1.9,19.0,3.5
3853,6,94.0,71.0,83.0,72.0,75.0,0.0,18.0,moderate,0.0,0.0,29.54,30.04,4.8,20.0,5.2
3854,7,104.0,80.0,92.0,62.0,72.0,0.0,27.0,moderate,0.0,0.0,28.63,29.95,8.1,19.0,11.4
3858,11,87.0,73.0,80.0,74.0,75.0,0.0,15.0,FG,0.0,0.4,30.06,30.1,6.2,21.0,6.7
3859,12,90.0,76.0,83.0,73.0,75.0,0.0,18.0,RA,0.0,0.09,30.06,30.11,5.4,21.0,5.8
3861,14,104.0,78.0,91.0,62.0,71.0,0.0,26.0,moderate,0.0,0.0,28.63,29.95,5.9,20.0,10.0
3862,15,81.0,53.0,67.0,52.0,59.0,0.0,2.0,moderate,0.0,0.0,29.59,29.98,3.5,34.0,4.5
3864,17,107.0,74.0,91.0,66.0,74.0,0.0,26.0,RA,0.0,0.23,29.29,29.97,3.5,21.0,4.8
3865,18,101.0,79.0,90.0,66.0,74.0,0.0,25.0,moderate,0.0,0.0,29.49,30.0,5.2,21.0,6.8
3866,19,80.0,67.0,74.0,68.0,69.0,0.0,9.0,TSRA RA BR,0.0,0.39,29.21,29.93,5.9,2.0,9.2
3867,20,100.0,79.0,90.0,67.0,74.0,0.0,25.0,moderate,0.0,0.0,29.31,30.0,2.9,20.0,5.5
3869,2,69.0,57.0,63.0,55.0,59.0,2.0,0.0,moderate,0.0,0.0,28.98,30.07,3.7,7.0,4.6
3870,3,106.0,73.0,90.0,64.0,73.0,0.0,25.0,moderate,0.0,0.0,29.23,29.92,5.5,3.0,6.7
3871,4,98.0,75.0,87.0,69.0,75.0,0.0,22.0,moderate,0.0,0.0,29.34,30.01,2.5,20.0,3.5
3873,6,96.0,75.0,86.0,71.0,75.0,0.0,21.0,moderate,0.0,0.0,29.49,30.01,6.6,20.0,7.1
3874,7,108.0,81.0,95.0,57.0,71.0,0.0,30.0,moderate,0.0,0.0,28.61,29.93,1.7,15.0,8.8
3878,11,93.0,73.0,83.0,73.0,76.0,0.0,18.0,moderate,0.0,0.0,30.03,30.07,7.2,22.0,7.6
3879,12,96.0,76.0,86.0,72.0,76.0,0.0,21.0,moderate,0.0,0.0,30.03,30.08,7.1,22.0,7.2
3881,14,109.0,78.0,94.0,57.0,70.0,0.0,29.0,moderate,0.0,0.0,28.6,29.93,1.1,13.0,7.8
3882,15,76.0,53.0,65.0,53.0,58.0,0.0,0.0,moderate,0.0,0.0,29.69,30.07,1.0,15.0,2.2
3884,17,106.0,72.0,89.0,64.0,73.0,0.0,24.0,BR,0.0,0.0,29.28,29.96,4.8,3.0,4.9
3885,18,106.0,80.0,93.0,68.0,74.0,0.0,28.0,RA,0.0,0.09,29.45,29.96,3.1,25.0,7.4
3886,19,77.0,66.0,72.0,59.0,65.0,0.0,7.0,moderate,0.0,0.0,29.34,30.07,7.3,6.0,8.2
3887,20,105.0,76.0,91.0,68.0,74.0,0.0,26.0,RA,0.0,0.29,29.26,29.96,5.0,26.0,8.2
3889,2,79.0,54.0,67.0,52.0,58.0,0.0,2.0,moderate,0.0,0.0,29.02,30.11,3.1,15.0,5.4
3890,3,104.0,67.0,86.0,61.0,70.0,0.0,21.0,moderate,0.0,0.0,29.23,29.93,4.1,7.0,6.4
3891,4,100.0,75.0,88.0,68.0,74.0,0.0,23.0,moderate,0.0,0.0,29.28,29.94,2.3,18.0,4.1
3893,6,98.0,75.0,87.0,69.0,74.0,0.0,22.0,moderate,0.0,0.0,29.44,29.94,5.5,19.0,6.5
3894,7,105.0,73.0,89.0,56.0,69.0,0.0,24.0,moderate,0.0,0.0,28.6,29.92,7.9,7.0,8.5
3898,11,93.0,71.0,82.0,73.0,76.0,0.0,17.0,TS BR,0.0,0.0,30.04,30.09,3.0,12.0,3.6
3899,12,93.0,73.0,83.0,73.0,76.0,0.0,18.0,moderate,0.0,0.0,30.04,30.09,4.1,16.0,5.1
3901,14,104.0,79.0,92.0,55.0,68.0,0.0,27.0,moderate,0.0,0.0,28.59,29.92,8.6,8.0,9.4
3902,15,82.0,49.0,66.0,51.0,58.0,0.0,1.0,moderate,0.0,0.0,29.7,30.08,2.6,17.0,3.2
3904,17,104.0,73.0,89.0,59.0,70.0,0.0,24.0,moderate,0.0,0.0,29.29,29.96,5.3,6.0,6.2
3905,18,108.0,77.0,93.0,66.0,75.0,0.0,28.0,moderate,0.0,0.0,29.39,29.89,1.8,18.0,5.6
3906,19,87.0,67.0,77.0,62.0,68.0,0.0,12.0,moderate,0.0,0.0,29.3,30.04,7.5,24.0,7.8
3907,20,108.0,79.0,94.0,66.0,74.0,0.0,29.0,RA,0.0,0.02,29.2,29.89,1.6,20.0,5.1
3909,2,83.0,58.0,71.0,56.0,62.0,0.0,6.0,moderate,0.0,0.0,29.05,30.13,9.2,23.0,10.5
3910,3,103.0,76.0,90.0,63.0,72.0,0.0,25.0,moderate,0.0,0.0,29.26,29.96,6.7,13.0,7.1
3911,4,94.0,75.0,85.0,70.0,74.0,0.0,20.0,moderate,0.0,0.0,29.31,29.97,3.2,16.0,5.2
3913,6,95.0,74.0,85.0,70.0,75.0,0.0,20.0,moderate,0.0,0.0,29.47,29.96,6.5,17.0,6.9
3914,7,102.0,81.0,92.0,62.0,72.0,0.0,27.0,moderate,0.0,0.0,28.62,29.94,9.1,13.0,10.2
3918,11,92.0,75.0,84.0,73.0,76.0,0.0,19.0,moderate,0.0,0.0,30.09,30.15,5.6,13.0,6.6
3919,12,92.0,75.0,84.0,73.0,76.0,0.0,19.0,moderate,0.0,0.0,30.09,30.15,4.9,13.0,5.6
3921,14,102.0,79.0,91.0,63.0,72.0,0.0,26.0,moderate,0.0,0.0,28.61,29.94,9.4,13.0,9.8
3922,15,87.0,53.0,70.0,57.0,63.0,0.0,5.0,moderate,0.0,0.0,29.7,30.08,2.8,19.0,3.7
3924,17,102.0,74.0,88.0,62.0,71.0,0.0,23.0,moderate,0.0,0.0,29.33,30.0,4.1,13.0,4.8
3925,18,102.0,81.0,92.0,67.0,74.0,0.0,27.0,moderate,0.0,0.0,29.44,29.94,9.6,16.0,10.5
3927,20,102.0,79.0,91.0,67.0,74.0,0.0,26.0,moderate,0.0,0.0,29.26,29.94,7.3,15.0,8.3
3929,2,84.0,64.0,74.0,65.0,67.0,0.0,9.0,RA BR,0.0,0.01,28.92,29.97,10.4,23.0,10.7
3930,3,101.0,82.0,92.0,67.0,75.0,0.0,27.0,moderate,0.0,0.0,29.28,29.98,10.8,17.0,11.1
3931,4,95.0,76.0,86.0,70.0,75.0,0.0,21.0,moderate,0.0,0.0,29.37,30.03,3.7,16.0,6.4
3933,6,95.0,75.0,85.0,71.0,75.0,0.0,20.0,BR,0.0,0.0,29.52,30.02,8.3,17.0,8.7
3934,7,101.0,78.0,90.0,63.0,72.0,0.0,25.0,moderate,0.0,0.0,28.64,29.97,13.5,16.0,13.8
3938,11,91.0,72.0,82.0,72.0,75.0,0.0,17.0,moderate,0.0,0.0,30.12,30.14,4.2,15.0,6.5
3939,12,91.0,74.0,83.0,72.0,75.0,0.0,18.0,moderate,0.0,0.0,30.11,30.15,4.9,16.0,6.4
3941,14,101.0,74.0,88.0,64.0,72.0,0.0,23.0,moderate,0.0,0.0,28.64,29.97,11.6,16.0,11.8
3942,15,89.0,62.0,76.0,65.0,69.0,0.0,11.0,RA BR VCTS,0.0,0.07,29.57,29.91,4.0,18.0,5.4
3944,17,102.0,80.0,91.0,65.0,74.0,0.0,26.0,moderate,0.0,0.0,29.34,30.02,6.8,17.0,7.6
3947,20,98.0,77.0,88.0,67.0,74.0,0.0,23.0,moderate,0.0,0.0,29.33,30.01,7.4,16.0,8.5
3949,2,87.0,63.0,75.0,64.0,68.0,0.0,10.0,TSRA RA,0.0,0.22,28.59,29.66,9.9,28.0,12.2
3950,3,101.0,80.0,91.0,66.0,74.0,0.0,26.0,moderate,0.0,0.0,29.2,29.91,12.5,18.0,12.8
3951,4,96.0,77.0,87.0,72.0,76.0,0.0,22.0,moderate,0.0,0.0,29.32,30.0,5.5,16.0,7.0
3953,6,95.0,74.0,85.0,72.0,76.0,0.0,20.0,BR,0.0,0.0,29.48,29.99,8.1,17.0,8.6
3954,7,100.0,78.0,89.0,64.0,72.0,0.0,24.0,moderate,0.0,0.0,28.57,29.91,16.4,18.0,16.8
3958,11,92.0,71.0,82.0,72.0,75.0,0.0,17.0,moderate,0.0,0.0,30.03,30.05,6.8,22.0,7.2
3959,12,94.0,74.0,84.0,70.0,75.0,0.0,19.0,moderate,0.0,0.0,30.03,30.06,7.6,23.0,7.8
3961,14,100.0,77.0,89.0,65.0,72.0,0.0,24.0,moderate,0.0,0.0,28.57,29.91,13.3,18.0,13.8
3962,15,87.0,63.0,75.0,63.0,67.0,0.0,10.0,RA BR VCTS,0.0,0.13,29.25,29.62,7.9,32.0,9.3
3964,17,102.0,78.0,90.0,65.0,74.0,0.0,25.0,moderate,0.0,0.0,29.26,29.95,8.5,19.0,8.6
3965,18,98.0,78.0,88.0,68.0,74.0,0.0,23.0,moderate,0.0,0.0,29.46,29.97,10.9,18.0,11.5
3967,20,97.0,76.0,87.0,68.0,74.0,0.0,22.0,moderate,0.0,0.0,29.27,29.97,6.3,17.0,8.0
3969,2,81.0,59.0,70.0,50.0,58.0,0.0,5.0,moderate,0.0,0.0,28.74,29.81,8.8,32.0,9.1
3970,3,104.0,81.0,93.0,67.0,75.0,0.0,28.0,moderate,0.0,0.0,29.08,29.78,14.5,18.0,14.7
3971,4,96.0,76.0,86.0,71.0,75.0,0.0,21.0,moderate,0.0,0.0,29.23,29.91,6.1,18.0,7.2
3973,6,95.0,74.0,85.0,72.0,76.0,0.0,20.0,moderate,0.0,0.0,29.39,29.91,11.0,18.0,11.4
3974,7,103.0,82.0,93.0,63.0,73.0,0.0,28.0,moderate,0.0,0.0,28.45,29.78,18.5,19.0,19.1
3978,11,95.0,73.0,84.0,74.0,76.0,0.0,19.0,TS,0.0,0.0,29.93,29.97,2.9,23.0,4.0
3979,12,96.0,78.0,87.0,73.0,77.0,0.0,22.0,moderate,0.0,0.0,29.93,29.97,3.7,23.0,5.7
3981,14,103.0,80.0,92.0,64.0,73.0,0.0,27.0,moderate,0.0,0.0,28.45,29.79,16.6,18.0,17.1
3982,15,82.0,59.0,71.0,51.0,59.0,0.0,6.0,moderate,0.0,0.0,29.41,29.79,9.1,32.0,9.6
3984,17,105.0,82.0,94.0,66.0,74.0,0.0,29.0,moderate,0.0,0.0,29.14,29.83,10.8,19.0,11.0
3985,18,101.0,80.0,91.0,68.0,75.0,0.0,26.0,moderate,0.0,0.0,29.35,29.87,13.5,18.0,13.9
3986,19,96.0,70.0,83.0,69.0,73.0,0.0,18.0,TS,0.0,0.24,28.96,29.7,9.9,21.0,11.9
3987,20,100.0,79.0,90.0,68.0,75.0,0.0,25.0,moderate,0.0,0.0,29.16,29.87,8.1,17.0,9.1
3989,2,81.0,66.0,74.0,62.0,66.0,0.0,9.0,RA BR,0.0,0.01,28.65,29.69,8.7,24.0,9.2
3990,3,99.0,80.0,90.0,68.0,75.0,0.0,25.0,moderate,0.0,0.06,29.13,29.8,4.3,19.0,9.0
3991,4,97.0,76.0,87.0,71.0,75.0,0.0,22.0,moderate,0.0,0.0,29.23,29.89,5.6,18.0,7.4
3993,6,96.0,74.0,85.0,72.0,75.0,0.0,20.0,moderate,0.0,0.0,29.39,29.89,9.3,17.0,9.8
3994,7,100.0,81.0,91.0,64.0,72.0,0.0,26.0,moderate,0.0,0.0,28.5,29.8,8.4,21.0,9.1
3998,11,96.0,74.0,85.0,74.0,77.0,0.0,20.0,BR,0.0,0.0,29.92,29.96,5.6,23.0,6.6
3999,12,97.0,79.0,88.0,73.0,77.0,0.0,23.0,moderate,0.0,0.0,29.92,29.97,7.4,24.0,7.7
4001,14,101.0,79.0,90.0,64.0,72.0,0.0,25.0,moderate,0.0,0.0,28.5,29.81,6.7,21.0,7.7
4002,15,76.0,60.0,68.0,60.0,63.0,0.0,3.0,RA BR,0.0,0.6,29.33,29.68,0.7,2.0,1.9
4004,17,100.0,77.0,89.0,67.0,74.0,0.0,24.0,moderate,0.0,0.0,29.18,29.84,2.8,18.0,5.5
4005,18,101.0,80.0,91.0,69.0,75.0,0.0,26.0,moderate,0.0,0.0,29.36,29.85,8.3,20.0,9.0
4006,19,85.0,69.0,77.0,68.0,70.0,0.0,12.0,TSRA RA,0.0,0.65,28.95,29.68,0.9,20.0,5.5
4007,20,101.0,79.0,90.0,69.0,75.0,0.0,25.0,moderate,0.0,0.0,29.17,29.85,5.7,18.0,7.2
4009,2,77.0,66.0,72.0,67.0,68.0,0.0,7.0,RA FG+ BR,0.0,0.02,28.7,29.79,1.8,30.0,4.6
4010,3,105.0,74.0,90.0,65.0,74.0,0.0,25.0,moderate,0.0,0.0,29.23,29.92,5.4,18.0,6.6
4011,4,97.0,77.0,87.0,71.0,75.0,0.0,22.0,BR,0.0,0.0,29.32,29.97,3.2,17.0,4.8
4013,6,96.0,74.0,85.0,71.0,76.0,0.0,20.0,BR,0.0,0.0,29.48,29.97,6.2,17.0,6.5
4014,7,103.0,73.0,88.0,64.0,72.0,0.0,23.0,moderate,0.0,0.0,28.63,29.93,6.5,19.0,7.4
4018,11,95.0,74.0,85.0,73.0,76.0,0.0,20.0,BR,0.0,0.0,29.96,30.01,5.7,24.0,6.3
4019,12,97.0,78.0,88.0,72.0,76.0,0.0,23.0,moderate,0.0,0.0,29.96,30.01,6.6,25.0,7.2
4021,14,102.0,71.0,87.0,64.0,72.0,0.0,22.0,moderate,0.0,0.0,28.62,29.93,4.7,18.0,5.9
4022,15,77.0,65.0,71.0,65.0,66.0,0.0,6.0,RA FG+ BR,0.0,0.04,29.38,29.78,0.7,32.0,1.5
4024,17,105.0,73.0,89.0,63.0,72.0,0.0,24.0,moderate,0.0,0.0,29.29,29.96,2.7,18.0,3.9
4025,18,99.0,81.0,90.0,67.0,74.0,0.0,25.0,moderate,0.0,0.0,29.47,29.96,6.5,18.0,7.9
4026,19,80.0,68.0,74.0,65.0,68.0,0.0,9.0,RA,0.0,0.36,29.16,29.86,6.6,2.0,8.2
4027,20,97.0,79.0,88.0,68.0,74.0,0.0,23.0,moderate,0.0,0.0,29.28,29.96,3.5,17.0,5.5
4029,2,82.0,64.0,73.0,64.0,66.0,0.0,8.0,TSRA RA FG+ BR,0.0,2.7,28.89,29.97,3.6,6.0,5.1
4030,3,108.0,79.0,94.0,61.0,73.0,0.0,29.0,moderate,0.0,0.0,29.27,29.97,3.8,18.0,5.1
4031,4,99.0,73.0,86.0,67.0,73.0,0.0,21.0,moderate,0.0,0.0,29.38,30.04,0.8,20.0,2.3
4033,6,98.0,70.0,84.0,69.0,73.0,0.0,19.0,BR,0.0,0.0,29.53,30.04,3.1,19.0,3.9
4034,7,105.0,77.0,91.0,60.0,71.0,0.0,26.0,moderate,0.0,0.0,28.66,29.99,8.6,20.0,9.0
4038,11,94.0,74.0,84.0,74.0,76.0,0.0,19.0,BR,0.0,0.01,29.99,30.03,3.4,24.0,4.8
4041,14,104.0,74.0,89.0,61.0,71.0,0.0,24.0,moderate,0.0,0.0,28.66,29.99,6.4,19.0,7.1
4042,15,80.0,65.0,73.0,66.0,67.0,0.0,8.0,RA FG+ BR,0.0,0.04,29.59,29.97,1.6,11.0,2.6
4044,17,110.0,74.0,92.0,61.0,71.0,0.0,27.0,moderate,0.0,0.0,29.34,30.01,2.5,16.0,3.3
4045,18,104.0,82.0,93.0,65.0,74.0,0.0,28.0,moderate,0.0,0.0,29.51,30.01,4.5,20.0,6.7
4046,19,76.0,65.0,71.0,64.0,66.0,0.0,6.0,moderate,0.0,0.0,29.36,30.09,4.0,7.0,7.3
4047,20,104.0,79.0,92.0,65.0,74.0,0.0,27.0,moderate,0.0,0.0,29.32,30.01,2.2,19.0,4.6
4049,2,72.0,60.0,66.0,62.0,63.0,0.0,1.0,RA BR,0.0,0.01,28.94,30.03,5.0,4.0,5.4
4050,3,108.0,86.0,97.0,58.0,72.0,0.0,32.0,moderate,0.0,0.0,29.18,29.89,9.0,21.0,10.1
4051,4,100.0,74.0,87.0,68.0,74.0,0.0,22.0,moderate,0.0,0.0,29.33,30.0,1.0,17.0,3.4
4053,6,99.0,70.0,85.0,69.0,74.0,0.0,20.0,moderate,0.0,0.0,29.49,30.0,4.5,18.0,5.6
4054,7,106.0,80.0,93.0,56.0,70.0,0.0,28.0,moderate,0.0,0.0,28.59,29.93,9.8,19.0,10.2
4058,11,95.0,75.0,85.0,74.0,76.0,0.0,20.0,moderate,0.0,0.0,29.97,30.0,6.4,23.0,6.9
4061,14,106.0,77.0,92.0,57.0,69.0,0.0,27.0,moderate,0.0,0.0,28.59,29.93,7.8,20.0,8.6
4062,15,74.0,57.0,66.0,62.0,64.0,0.0,1.0,RA FG BR,0.0,0.18,29.64,30.03,2.1,4.0,2.8
4064,17,108.0,74.0,91.0,58.0,71.0,0.0,26.0,moderate,0.0,0.0,29.25,29.94,4.2,22.0,5.0
4065,18,105.0,80.0,93.0,59.0,71.0,0.0,28.0,moderate,0.0,0.0,29.46,29.97,4.4,21.0,5.7
4066,19,81.0,65.0,73.0,61.0,66.0,0.0,8.0,moderate,0.0,0.0,29.29,30.03,6.4,19.0,7.5
4067,20,105.0,80.0,93.0,60.0,71.0,0.0,28.0,moderate,0.0,0.0,29.27,29.97,3.2,21.0,5.6
4069,2,80.0,57.0,69.0,59.0,63.0,0.0,4.0,moderate,0.0,0.0,29.03,30.12,6.3,22.0,7.1
4070,3,109.0,88.0,99.0,56.0,71.0,0.0,34.0,moderate,0.0,0.0,29.14,29.84,9.0,20.0,10.3
4071,4,99.0,74.0,87.0,68.0,74.0,0.0,22.0,moderate,0.0,0.0,29.29,29.95,3.1,16.0,5.3
4073,6,98.0,70.0,84.0,69.0,74.0,0.0,19.0,moderate,0.0,0.0,29.44,29.95,6.4,18.0,6.8
4074,7,107.0,83.0,95.0,54.0,69.0,0.0,30.0,moderate,0.0,0.0,28.55,29.87,10.9,20.0,11.6
4078,11,90.0,71.0,81.0,73.0,75.0,0.0,16.0,TS TSRA BR,0.0,0.43,29.93,29.98,5.6,22.0,7.7
4079,12,93.0,75.0,84.0,73.0,75.0,0.0,19.0,TS TSRA,0.0,0.73,29.93,29.98,6.0,23.0,7.4
4081,14,107.0,79.0,93.0,55.0,69.0,0.0,28.0,moderate,0.0,0.0,28.55,29.88,8.7,20.0,9.2
4082,15,85.0,56.0,71.0,61.0,65.0,0.0,6.0,FG+,0.0,0.0,29.7,30.08,3.1,17.0,3.6
4084,17,111.0,80.0,96.0,55.0,70.0,0.0,31.0,moderate,0.0,0.0,29.21,29.88,6.2,21.0,6.5
4085,18,104.0,82.0,93.0,62.0,73.0,0.0,28.0,moderate,0.0,0.0,29.41,29.92,6.3,19.0,7.7
4087,20,104.0,83.0,94.0,63.0,73.0,0.0,29.0,moderate,0.0,0.0,29.23,29.92,3.0,18.0,6.1
4101,14,108.0,80.0,94.0,56.0,70.0,0.0,29.0,moderate,0.0,0.0,28.52,29.85,7.7,18.0,9.2
4106,19,77.0,69.0,73.0,66.0,68.0,0.0,8.0,moderate,0.0,0.42,29.2,29.92,5.1,4.0,7.1
4109,2,78.0,63.0,71.0,66.0,68.0,0.0,6.0,RA BR,0.0,0.16,28.84,29.9,6.0,22.0,6.7
4110,3,112.0,83.0,98.0,63.0,74.0,0.0,33.0,moderate,0.0,0.0,29.05,29.74,6.2,18.0,8.8
4111,4,102.0,75.0,89.0,67.0,74.0,0.0,24.0,moderate,0.0,0.0,29.24,29.9,2.7,18.0,5.6
4114,7,112.0,83.0,98.0,56.0,71.0,0.0,33.0,moderate,0.0,0.0,28.45,29.77,11.9,19.0,11.7
4118,11,93.0,74.0,84.0,73.0,76.0,0.0,19.0,moderate,0.0,0.0,29.9,29.94,6.1,24.0,6.9
4119,12,92.0,78.0,85.0,73.0,76.0,0.0,20.0,TS,0.0,0.04,29.9,29.94,5.4,24.0,6.8
4121,14,112.0,79.0,96.0,58.0,71.0,0.0,31.0,moderate,0.0,0.0,28.45,29.78,8.4,18.0,8.1
4124,17,114.0,78.0,96.0,61.0,73.0,0.0,31.0,moderate,0.0,0.0,29.1,29.78,2.0,18.0,6.1
4125,18,107.0,83.0,95.0,64.0,74.0,0.0,30.0,moderate,0.0,0.0,29.34,29.85,9.4,19.0,9.6
4126,19,88.0,68.0,78.0,65.0,69.0,0.0,13.0,moderate,0.0,0.0,29.16,29.9,5.5,21.0,6.1
4127,20,106.0,82.0,94.0,65.0,74.0,0.0,29.0,moderate,0.0,0.0,29.15,29.85,4.9,19.0,6.8
4129,2,85.0,67.0,76.0,66.0,69.0,0.0,11.0,BR,0.0,0.0,28.8,29.88,6.8,25.0,7.3
4130,3,112.0,86.0,99.0,60.0,73.0,0.0,34.0,moderate,0.0,0.0,28.98,29.68,6.1,19.0,7.8
4131,4,102.0,74.0,88.0,68.0,74.0,0.0,23.0,moderate,0.0,0.0,29.18,29.85,3.8,17.0,6.2
4133,6,100.0,73.0,87.0,69.0,74.0,0.0,22.0,moderate,0.0,0.0,29.34,29.84,8.9,18.0,9.5
4134,7,111.0,85.0,98.0,54.0,70.0,0.0,33.0,moderate,0.0,0.0,28.38,29.59,10.9,20.0,13.1
4138,11,95.0,73.0,84.0,73.0,76.0,0.0,19.0,TS TSRA BR,0.0,0.09,29.9,29.94,3.7,23.0,5.5
4139,12,96.0,75.0,86.0,73.0,77.0,0.0,21.0,TS,0.0,0.06,29.9,29.94,4.2,23.0,5.9
4141,14,112.0,82.0,97.0,55.0,70.0,0.0,32.0,moderate,0.0,0.0,28.38,29.71,10.2,20.0,11.5
4142,15,91.0,66.0,79.0,66.0,70.0,0.0,14.0,BR,0.0,0.0,29.47,29.84,1.3,28.0,2.6
4144,17,114.0,78.0,96.0,58.0,72.0,0.0,31.0,moderate,0.0,0.0,29.05,29.72,1.9,20.0,3.6
4145,18,107.0,83.0,95.0,62.0,73.0,0.0,30.0,moderate,0.0,0.0,29.28,29.79,10.6,19.0,11.6
4146,19,89.0,72.0,81.0,65.0,70.0,0.0,16.0,moderate,0.0,0.0,29.11,29.85,1.6,16.0,7.4
4147,20,107.0,81.0,94.0,62.0,72.0,0.0,29.0,moderate,0.0,0.0,29.1,29.79,6.5,18.0,8.4
4149,2,88.0,69.0,79.0,67.0,71.0,0.0,14.0,BR,0.0,0.0,28.93,30.02,8.5,24.0,8.8
4150,3,107.0,82.0,95.0,64.0,74.0,0.0,30.0,moderate,0.0,0.0,29.02,29.71,9.5,16.0,10.4
4151,4,101.0,75.0,88.0,68.0,74.0,0.0,23.0,moderate,0.0,0.0,29.19,29.85,5.6,17.0,7.0
4153,6,99.0,71.0,85.0,69.0,74.0,0.0,20.0,moderate,0.0,0.0,29.34,29.84,10.6,17.0,10.9
4154,7,112.0,85.0,99.0,55.0,70.0,0.0,34.0,moderate,0.0,0.0,28.39,29.58,16.7,19.0,17.2
4158,11,91.0,70.0,81.0,72.0,74.0,0.0,16.0,moderate,0.0,0.0,29.96,30.0,2.1,13.0,3.6
4159,12,91.0,71.0,81.0,71.0,74.0,0.0,16.0,moderate,0.0,0.0,29.95,30.01,3.8,14.0,4.6
4161,14,113.0,84.0,99.0,56.0,70.0,0.0,34.0,moderate,0.0,0.0,28.4,29.7,15.0,19.0,15.7
4162,15,91.0,62.0,77.0,65.0,69.0,0.0,12.0,moderate,0.0,0.0,29.58,29.97,2.0,29.0,3.0
4165,18,105.0,82.0,94.0,65.0,74.0,0.0,29.0,moderate,0.0,0.0,29.31,29.8,12.1,19.0,12.7
4166,19,85.0,71.0,78.0,71.0,73.0,0.0,13.0,moderate,0.0,0.0,29.16,29.89,4.6,7.0,5.7
4167,20,103.0,79.0,91.0,65.0,74.0,0.0,26.0,moderate,0.0,0.0,29.11,29.8,6.0,17.0,8.3
4169,2,89.0,71.0,80.0,69.0,72.0,0.0,15.0,BR,0.0,0.0,29.13,30.2,5.3,22.0,7.4
4170,3,109.0,78.0,94.0,66.0,75.0,0.0,29.0,RA,0.0,0.23,29.13,29.8,7.5,19.0,10.9
4171,4,100.0,76.0,88.0,69.0,75.0,0.0,23.0,moderate,0.0,0.0,29.26,29.92,4.2,17.0,6.5
4173,6,99.0,74.0,87.0,70.0,75.0,0.0,22.0,moderate,0.0,0.0,29.42,29.91,8.4,17.0,9.1
4174,7,108.0,82.0,95.0,60.0,72.0,0.0,30.0,moderate,0.0,0.0,28.53,29.82,11.1,20.0,14.2
4178,11,88.0,72.0,80.0,73.0,75.0,0.0,15.0,RA FG BR,0.0,0.52,30.03,30.07,8.1,7.0,8.6
4179,12,88.0,73.0,81.0,73.0,75.0,0.0,16.0,RA BR,0.0,0.57,30.02,30.07,5.6,8.0,6.0
4181,14,109.0,80.0,95.0,60.0,72.0,0.0,30.0,moderate,0.0,0.0,28.53,29.82,12.0,20.0,13.1
4182,15,92.0,64.0,78.0,66.0,69.0,0.0,13.0,TSRA BR VCTS,0.0,0.05,29.8,30.18,2.1,15.0,2.9
4184,17,111.0,76.0,94.0,64.0,74.0,0.0,29.0,TS RA VCTS,0.0,0.16,29.2,29.84,7.4,20.0,8.6
4185,18,102.0,81.0,92.0,66.0,74.0,0.0,27.0,moderate,0.0,0.0,29.41,29.89,10.0,19.0,10.6
4186,19,88.0,71.0,80.0,72.0,74.0,0.0,15.0,TSRA RA BCFG BR HZ,0.0,0.13,29.11,29.85,2.2,15.0,5.8
4187,20,102.0,79.0,91.0,66.0,74.0,0.0,26.0,moderate,0.0,0.0,29.22,29.89,6.7,17.0,7.8
4189,2,87.0,71.0,79.0,70.0,72.0,0.0,14.0,TSRA RA BR,0.0,0.36,29.04,30.08,11.5,21.0,11.9
4190,3,96.0,73.0,85.0,65.0,71.0,0.0,20.0,TSRA RA,0.0,0.12,29.37,30.06,6.0,1.0,6.5
4193,6,96.0,72.0,84.0,70.0,74.0,0.0,19.0,BR,0.0,0.0,29.54,30.03,2.9,15.0,4.5
4194,7,97.0,74.0,86.0,63.0,71.0,0.0,21.0,moderate,0.0,0.0,28.74,30.07,8.5,4.0,9.4
4198,11,86.0,75.0,81.0,75.0,76.0,0.0,16.0,RA BR,0.0,0.98,30.04,30.08,7.2,13.0,7.7
4199,12,88.0,71.0,80.0,73.0,75.0,0.0,15.0,TSRA RA BR,0.0,1.4,30.04,30.09,7.6,14.0,7.8
