,units
21618,28
21619,2
21620,28
21621,2
21622,1
21623,17
21624,19
21625,5
21626,43
21627,4
21628,1
21629,54
21630,1
21631,36
21632,1
21633,22
21634,2
21635,40
21636,4
21637,19
21638,3
21639,2
21640,11
21641,2
21642,22
21643,32
21644,2
21645,25
21646,43
21647,41
21648,2
21649,26
21650,1
21651,11
21652,1
21653,12
21654,28
21655,36
21656,1
21657,23
21658,1
21659,14
21660,2
21661,14
21662,23
21663,1
21664,10
21665,33
21666,1
21667,25
21668,31
21669,11
21670,2
21671,12
21672,1
21673,20
21674,31
21675,2
21676,26
21677,31
21678,44
21679,1
21680,12
21681,3
21682,9
21683,45
21684,15
21685,4
21686,30
21687,24
21688,21
21689,3
21690,18
21691,4
21692,22
21693,4
21694,34
21695,1
21696,2
21697,16
21698,2
21699,1
21700,2
21701,2
21702,33
21703,1
21704,16
21705,3
21706,2
21707,4
21708,5
21709,15
21710,1
21711,29
21712,1
21713,16
21714,2
21715,7
21716,12
21717,23
21718,1
21719,31
21720,22
21721,18
21722,1
21723,14
21724,1
21725,29
21726,31
21727,2
21728,40
21729,3
21730,17
21731,1
21732,1
21733,9
21734,1
21735,13
21736,2
21737,27
21738,57
21739,36
21740,1
21741,18
21742,1
21743,11
21744,40
21745,3
21746,16
21747,6
21748,29
21749,1
21750,1
21751,32
21752,20
21753,23
21754,4
21755,16
21756,39
21757,29
21758,4
21759,29
21760,2
21761,1
21762,12
21763,31
21764,2
21765,29
21766,6
21767,10
21768,1
21769,11
21770,1
21771,25
21772,2
21773,33
21774,41
21775,1
21776,35
21777,15
21778,8
21779,2
21780,13
21781,42
21782,3
21783,35
21784,1
21785,46
21786,28
21787,2
21788,18
21789,1
21790,8
21791,4
21792,17
21793,2
21794,26
21795,2
21796,37
21797,2
21798,15
21799,3
21800,4
21801,15
21802,1
21803,17
21804,39
21805,4
21806,27
21807,23
21808,1
21809,13
21810,1
21811,1
21812,6
21813,2
21814,9
21815,36
21816,3
21817,29
21818,48
21819,35
21820,1
21821,16
21822,19
21823,45
21824,27
21825,33
21826,1
21827,46
21828,1
21829,2
21830,17
21831,3
21832,26
21833,20
21834,42
21835,44
21836,2
21837,11
21838,2
21839,8
21840,18
21841,39
21842,27
21843,2
21844,22
21845,2
21846,16
21847,2
21848,10
21849,31
21850,12
21851,3
21852,41
21853,2
21854,35
21855,27
21856,2
21857,13
21858,5
21859,18
21860,2
21861,27
21862,20
21863,23
21864,1
21865,10
21866,45
21867,4
21868,11
21869,1
21870,31
21871,21
21872,39
21873,1
21874,8
21875,1
21876,20
21877,52
21878,1
21879,15
21880,42
21881,2
21882,31
21883,26
21884,23
21885,3
21886,23
21887,3
21888,16
21889,43
21890,42
21891,4
21892,33
21893,45
21894,3
21895,27
21896,1
21897,1
21898,16
21899,23
21900,1
21901,36
21902,54
21903,1
21904,55
21905,2
21906,28
21907,1
21908,20
21909,1
21910,17
21911,37
21912,3
21913,19
21914,35
21915,36
21916,2
21917,10
21918,1
21919,8
21920,1
21921,17
21922,41
21923,6
21924,1
21925,29
21926,12
21927,1
21928,12
21929,6
21930,34
21931,4
21932,1
21933,38
21934,20
21935,1
21936,6
21937,20
21938,39
21939,3
21940,19
21941,2
21942,3
21943,34
21944,14
21945,1
21946,2
21947,11
21948,1
21949,17
21950,19
21951,3
21952,45
21953,2
21954,1
21955,25
21956,1
21957,17
21958,3
21959,21
21960,1
21961,47
21962,38
21963,40
21964,1
21965,1
21966,21
21967,12
21968,1
21969,34
21970,26
21971,52
21972,31
21973,3
21974,48
21975,2
21976,22
21977,3
21978,22
21979,1
21980,14
21981,3
21982,27
21983,1
21984,52
21985,35
21986,13
21987,2
21988,8
21989,1
21990,16
21991,43
21992,5
21993,22
21994,3
21995,15
21996,1
21997,9
21998,16
21999,8
22000,21
22001,2
22002,51
22003,1
22004,23
22005,3
22006,10
22007,20
22008,4
22009,44
22010,1
22011,1
22012,33
22013,2
22014,21
22015,2
22016,2
22017,14
22018,2
22019,18
22020,2
22021,23
22022,2
22023,1
22024,41
22025,28
22026,2
22027,1
22028,25
22029,2
22030,28
22031,6
22032,38
22033,59
22034,1
22035,20
22036,1
22037,29
22038,1
22039,34
22040,1
22041,36
22042,30
22043,1
22044,1
22045,15
22046,2
22047,24
22048,1
22049,19
22050,27
22051,3
22052,25
22053,22
22054,1
22055,6
22056,14
22057,1
22058,28
22059,53
22060,4
22061,39
22062,2
22063,23
22064,1
22065,7
22066,35
22067,1
22068,13
22069,20
22070,3
22071,37
22072,2
22073,17
22074,3
22075,16
22076,26
22077,1
22078,10
22079,1
22080,21
22081,35
22082,38
22083,2
22084,17
22085,1
22086,14
22087,2
22088,19
22089,4
22090,30
22091,5
22092,22
22093,5
22094,29
22095,1
22096,24
22097,2
22098,35
22099,4
22100,1
22101,10
22102,30
22103,2
22104,7
22105,21
22106,5
22107,42
22108,1
22109,45
22110,3
22111,22
22112,3
22113,26
22114,44
22115,22
22116,1
22117,47
22118,22
22119,33
22120,1
22121,18
22122,1
22123,13
22124,19
22125,4
22126,24
22127,28
22128,4
22129,35
22130,2
22131,1
22132,12
22133,1
22134,11
22135,2
22136,19
22137,33
22138,1
22139,24
22140,1
22141,22
22142,1
22143,12
22144,1
22145,12
22146,39
22147,12
22148,20
22149,4
22150,27
22151,1
22152,14
22153,1
22154,13
22155,24
22156,17
22157,1
22158,17
22159,1
22160,29
22161,6
22162,28
22163,6
22164,35
22165,30
22166,2
22167,21
22168,3
22169,4
22170,13
22171,1
22172,29
22173,34
22174,2
22175,47
22176,1
22177,37
22178,1
22179,19
22180,1
22181,28
22182,39
22183,27
22184,1
22185,40
22186,5
22187,48
22188,38
22189,25
22190,12
22191,1
22192,11
22193,1
22194,24
22195,43
22196,4
22197,26
22198,33
22199,43
22200,1
22201,2
22202,17
22203,3
22204,8
22205,20
22206,2
22207,40
22208,2
22209,33
22210,3
22211,14
22212,2
22213,1
22214,9
22215,43
22216,24
22217,1
22218,26
22219,37
22220,1
22221,1
22222,8
22223,2
22224,1
22225,11
22226,1
22227,18
22228,39
22229,2
22230,31
22231,2
22232,1
22233,23
22234,2
22235,14
22236,23
22237,43
22238,5
22239,35
22240,2
22241,1
22242,17
22243,2
22244,1
22245,21
22246,55
22247,2
22248,44
22249,26
22250,33
22251,24
22252,26
22253,1
22254,13
22255,1
22256,29
22257,28
22258,44
22259,2
22260,41
22261,1
22262,21
22263,2
22264,17
22265,2
22266,24
22267,25
22268,29
22269,4
22270,32
22271,14
22272,2
22273,1
22274,17
22275,1
22276,31
22277,26
22278,31
22279,35
22280,29
22281,17
22282,1
22283,11
22284,49
22285,2
22286,17
22287,27
22288,5
22289,29
22290,1
22291,24
22292,2
22293,16
22294,4
22295,8
22296,15
22297,29
22298,1
22299,27
22300,32
22301,1
22302,26
22303,1
22304,20
22305,41
22306,4
22307,24
22308,25
22309,1
22310,27
22311,30
22312,20
22313,1
22314,1
22315,20
22316,33
22317,40
22318,1
22319,29
22320,33
22321,43
22322,22
22323,8
22324,2
22325,18
22326,31
22327,37
22328,26
22329,28
22330,4
22331,12
22332,2
22333,11
22334,3
22335,54
22336,9
22337,22
22338,19
22339,23
22340,2
22341,13
22342,2
22343,7
22344,51
22345,13
22346,17
22347,2
22348,18
22349,45
22350,1
22351,11
22352,2
22353,12
22354,1
22355,15
22356,21
22357,19
22358,29
22359,14
22360,2
22361,5
22362,2
22363,21
22364,14
22365,2
22366,20
22367,25
22368,1
22369,31
22370,1
22371,2
22372,2
22373,13
22374,1
22375,20
22376,27
22377,2
22378,30
22379,36
22380,21
22381,1
22382,11
22383,28
22384,20
22385,29
22386,36
22387,1
22388,13
22389,2
22390,2
22391,13
22392,1
22393,21
22394,26
22395,2
22396,32
22397,46
22398,45
22399,15
22400,1
22401,14
22402,13
22403,22
22404,31
22405,31
22406,1
22407,8
22408,1
22409,10
22410,34
22411,3
22412,11
22413,19
22414,23
22415,34
22416,2
22417,14
22418,1
22419,1
22420,10
22421,39
22422,2
22423,12
22424,24
22425,2
22426,17
22427,50
22428,41
22429,2
22430,21
22431,2
22432,8
22433,41
22434,1
22435,17
22436,22
22437,2
22438,36
22439,34
22440,1
22441,42
22442,1
22443,21
22444,3
22445,1
22446,7
22447,2
22448,21
22449,35
22450,25
22451,33
22452,1
22453,1
22454,26
22455,1
22456,15
22457,1
22458,19
22459,16
22460,29
22461,31
22462,2
22463,1
22464,28
22465,1
22466,2
22467,10
22468,27
22469,20
22470,2
22471,21
22472,1
22473,2
22474,5
22475,20
22476,37
22477,54
22478,23
22479,2
22480,5
22481,16
22482,2
22483,18
22484,35
22485,3
22486,28
22487,42
22488,2
22489,20
22490,1
22491,16
22492,2
22493,30
22494,20
22495,2
22496,22
22497,40
22498,2
22499,19
22500,1
22501,1
22502,10
22503,28
22504,20
22505,53
22506,16
22507,2
22508,13
22509,1
22510,1
22511,18
22512,34
22513,28
22514,45
22515,1
22516,1
22517,16
22518,2
22519,7
22520,3
22521,20
22522,15
22523,19
22524,45
22525,47
22526,1
22527,16
22528,1
22529,6
22530,36
22531,9
22532,18
22533,17
22534,45
22535,14
22536,3
22537,8
22538,15
22539,13
22540,3
22541,24
22542,1
22543,51
22544,11
22545,2
22546,12
22547,1
22548,36
22549,2
22550,18
22551,29
22552,1
22553,22
22554,26
22555,43
22556,1
22557,22
22558,8
22559,2
22560,21
22561,28
22562,3
22563,31
22564,59
22565,2
22566,20
22567,23
22568,23
22569,2
22570,32
22571,1
22572,40
22573,1
22574,21
22575,12
22576,48
22577,1
22578,23
22579,19
22580,1
22581,19
22582,37
22583,2
22584,1
22585,19
22586,1
22587,8
22588,2
22589,40
22590,1
22591,13
22592,27
22593,1
22594,3
22595,15
22596,1
22597,1
22598,5
22599,1
22600,16
22601,16
22602,18
22603,27
22604,1
22605,44
22606,2
22607,19
22608,1
22609,10
22610,48
22611,13
22612,30
22613,4
22614,24
22615,14
22616,2
22617,15
22618,3
22619,26
22620,21
22621,50
22622,2
22623,26
22624,1
22625,8
22626,1
22627,39
22628,25
22629,34
22630,2
22631,1
22632,19
22633,20
22634,23
22635,44
22636,1
22637,33
22638,50
22639,2
22640,2
22641,10
22642,20
22643,25
22644,56
22645,42
22646,2
22647,1
22648,1
22649,8
22650,20
22651,18
22652,47
22653,32
22654,1
22655,12
22656,5
22657,14
22658,21
22659,1
22660,36
22661,1
22662,1
22663,31
22664,17
22665,18
22666,4
22667,30
22668,1
22669,3
22670,19
22671,1
22672,14
22673,5
22674,32
22675,15
22676,19
22677,48
22678,1
22679,38
22680,2
22681,20
22682,2
22683,18
22684,4
22685,32
22686,55
22687,1
22688,36
22689,2
22690,12
22691,2
22692,18
22693,3
22694,29
22695,53
22696,2
22697,35
22698,2
22699,30
22700,2
22701,17
22702,4
22703,28
22704,3
22705,23
22706,25
22707,10
22708,1
22709,30
22710,32
22711,1
22712,24
22713,40
22714,31
22715,1
22716,14
22717,28
22718,15
22719,19
22720,32
22721,1
22722,27
22723,13
22724,1
22725,44
22726,14
22727,36
22728,19
22729,35
22730,1
22731,45
22732,17
22733,4
22734,2
22735,10
22736,41
22737,1
22738,19
22739,30
22740,24
22741,36
22742,37
22743,2
22744,30
22745,4
22746,17
22747,57
22748,26
22749,1
22750,4
22751,49
22752,32
22753,1
22754,1
22755,23
22756,46
22757,1
22758,16
22759,35
22760,59
22761,1
22762,1
22763,17
22764,13
22765,19
22766,30
22767,39
22768,2
22769,16
22770,1
22771,7
22772,24
22773,1
22774,11
22775,29
22776,1
22777,17
22778,43
22779,3
22780,31
22781,2
22782,26
22783,7
22784,27
22785,16
22786,33
22787,4
22788,27
22789,29
22790,3
22791,29
22792,1
22793,13
22794,3
22795,21
22796,24
22797,52
22798,7
22799,26
22800,1
22801,30
22802,2
22803,10
22804,47
22805,3
22806,27
22807,1
22808,20
22809,41
22810,1
22811,38
22812,11
22813,21
22814,24
22815,52
22816,47
22817,1
22818,30
22819,2
22820,15
22821,24
22822,37
22823,54
22824,2
22825,28
22826,2
22827,4
22828,12
22829,2
22830,18
22831,1
22832,20
22833,52
22834,48
22835,1
22836,33
22837,4
22838,17
22839,26
22840,1
22841,27
22842,1
22843,54
22844,36
22845,1
22846,19
22847,2
22848,31
22849,40
22850,33
22851,25
22852,9
22853,3
22854,22
22855,3
22856,25
22857,34
22858,2
22859,8
22860,17
22861,44
22862,1
22863,18
22864,36
22865,50
22866,1
22867,31
22868,3
22869,1
22870,14
22871,1
22872,29
22873,4
22874,17
22875,33
22876,47
22877,2
22878,36
22879,1
22880,8
22881,5
22882,22
22883,25
22884,35
22885,43
22886,2
22887,37
22888,1
22889,14
22890,2
22891,20
22892,1
22893,2
22894,40
22895,44
22896,12
22897,3
22898,1
22899,31
22900,4
22901,42
22902,1
22903,4
22904,35
22905,2
22906,33
22907,1
22908,1
22909,32
22910,30
22911,5
22912,4
22913,1
22914,31
22915,24
22916,4
22917,54
22918,25
22919,29
22920,29
22921,47
22922,22
22923,3
22924,9
22925,51
22926,1
22927,14
22928,30
22929,1
22930,32
22931,32
22932,1
22933,26
22934,1
22935,1
22936,6
22937,3
22938,33
22939,26
22940,27
22941,2
22942,50
22943,23
22944,1
22945,13
22946,41
22947,22
22948,34
22949,1
22950,22
22951,39
22952,3
22953,46
22954,2
22955,1
22956,27
22957,1
22958,1
22959,15
22960,44
22961,1
22962,11
22963,32
22964,2
22965,28
22966,41
22967,1
22968,1
22969,31
22970,5
22971,2
22972,13
22973,1
22974,8
22975,36
22976,2
22977,32
22978,52
22979,1
22980,1
22981,23
22982,1
22983,6
22984,1
22985,1
22986,33
22987,5
22988,3
22989,17
22990,1
22991,6
22992,54
22993,2
22994,17
22995,32
22996,28
22997,39
22998,45
22999,1
23000,27
23001,3
23002,8
23003,48
23004,14
23005,25
23006,19
23007,46
23008,1
23009,47
23010,2
23011,14
23012,1
23013,14
23014,22
23015,1
23016,8
23017,24
23018,2
23019,24
23020,1
23021,40
23022,27
23023,2
23024,8
23025,46
23026,1
23027,5
23028,31
23029,19
23030,1
23031,43
23032,2
23033,37
23034,2
23035,11
23036,4
23037,1
23038,19
23039,36
23040,22
23041,40
23042,33
23043,2
23044,28
23045,2
23046,1
23047,14
23048,38
23049,2
23050,18
23051,43
23052,37
23053,31
23054,42
23055,1
23056,39
23057,2
23058,13
23059,30
23060,4
23061,43
23062,29
23063,45
23064,1
23065,34
23066,16
23067,14
23068,38
23069,35
23070,40
23071,1
23072,34
23073,2
23074,10
23075,1
23076,1
23077,16
23078,40
23079,17
23080,50
23081,27
23082,1
23083,30
23084,3
23085,15
23086,19
23087,28
23088,42
23089,1
23090,23
23091,8
23092,9
23093,44
23094,23
23095,42
23096,1
23097,31
23098,13
23099,2
23100,23
23101,43
23102,44
23103,2
23104,25
23105,2
23106,11
23107,32
23108,35
23109,31
23110,1
23111,2
23112,38
23113,1
23114,18
23115,1
23116,56
23117,18
23118,2
23119,14
23120,1
23121,30
23122,39
23123,21
23124,46
23125,28
23126,30
23127,3
23128,17
23129,1
23130,19
23131,40
23132,24
23133,40
23134,32
23135,2
23136,27
23137,3
23138,20
23139,2
23140,23
23141,43
23142,24
23143,37
23144,27
23145,1
23146,18
23147,2
23148,1
23149,14
23150,17
23151,37
23152,20
23153,36
23154,49
23155,1
23156,16
23157,12
23158,1
23159,30
23160,37
23161,37
23162,35
23163,40
23164,2
23165,1
23166,21
23167,1
23168,10
23169,1
23170,2
23171,17
23172,26
23173,40
23174,3
23175,31
23176,3
23177,2
23178,23
23179,1
23180,31
23181,28
23182,35
23183,57
23184,3
23185,21
23186,4
23187,12
23188,1
23189,35
23190,18
23191,18
23192,47
23193,40
23194,1
23195,12
23196,1
23197,8
23198,1
23199,18
23200,21
23201,26
23202,25
23203,28
23204,18
23205,2
23206,8
23207,35
23208,1
23209,19
23210,33
23211,43
23212,1
23213,1
23214,12
23215,2
23216,5
23217,2
23218,12
23219,17
23220,24
23221,26
23222,29
23223,18
23224,10
23225,7
23226,1
23227,19
23228,16
23229,44
23230,27
23231,3
23232,4
23233,16
23234,1
23235,34
23236,33
23237,27
23238,36
23239,17
23240,3
23241,20
23242,4
23243,33
23244,26
23245,34
23246,28
23247,49
23248,2
23249,18
23250,2
23251,1
23252,17
23253,16
23254,25
23255,19
23256,10
23257,1
23258,19
23259,4
23260,14
23261,32
23262,48
23263,19
23264,5
23265,14
23266,1
23267,23
23268,22
23269,17
23270,43
23271,47
23272,26
23273,1
23274,16
23275,28
23276,32
23277,34
23278,24
23279,21
23280,2
23281,23
23282,41
23283,54
23284,3
23285,36
23286,2
23287,21
23288,4
23289,31
23290,8
23291,60
23292,42
23293,4
23294,19
23295,1
23296,18
23297,27
23298,10
23299,53
23300,34
23301,1
23302,14
23303,2
23304,27
23305,47
23306,22
23307,3
23308,30
23309,46
23310,27
23311,24
23312,2
23313,18
23314,34
23315,19
23316,2
23317,46
23318,47
23319,23
23320,1
23321,16
23322,19
23323,30
23324,23
23325,3
23326,29
23327,15
23328,2
23329,13
23330,12
23331,42
23332,2
23333,48
23334,21
23335,1
23336,3
23337,21
23338,7
23339,27
23340,25
23341,4
23342,37
23343,1
23344,33
23345,20
23346,3
23347,20
23348,43
23349,23
23350,4
23351,55
23352,33
23353,24
23354,1
23355,2
23356,27
23357,37
23358,31
23359,1
23360,22
23361,1
23362,2
23363,11
23364,1
23365,24
23366,30
23367,27
23368,8
23369,43
23370,37
23371,22
23372,14
23373,4
23374,1
23375,15
23376,29
23377,23
23378,4
23379,31
23380,2
23381,19
23382,1
23383,11
23384,27
23385,1
23386,24
23387,20
23388,31
23389,1
23390,41
23391,23
23392,1
23393,10
23394,15
23395,19
23396,18
23397,4
23398,28
23399,21
23400,2
23401,12
23402,29
23403,6
23404,13
23405,36
23406,20
23407,5
23408,43
23409,42
23410,27
23411,1
23412,18
23413,2
23414,24
23415,41
23416,22
23417,5
23418,35
23419,53
23420,31
23421,3
23422,30
23423,2
23424,50
23425,10
23426,38
23427,30
23428,3
23429,50
23430,23
23431,4
23432,10
23433,1
23434,19
23435,18
23436,16
23437,6
23438,48
23439,15
23440,10
23441,3
23442,9
23443,32
23444,2
23445,27
23446,42
23447,2
23448,20
23449,1
23450,2
23451,1
23452,2
23453,16
23454,40
23455,32
23456,7
23457,43
23458,25
23459,1
23460,1
23461,8
23462,2
23463,17
23464,30
23465,20
23466,1
23467,26
23468,32
23469,26
23470,2
23471,2
23472,17
23473,1
23474,14
23475,44
23476,24
23477,4
23478,30
23479,41
23480,1
23481,12
23482,3
23483,18
23484,19
23485,33
23486,7
23487,51
23488,42
23489,1
23490,2
23491,16
23492,28
23493,39
23494,23
23495,54
23496,29
23497,3
23498,12
23499,1
23500,27
23501,44
23502,1
23503,30
23504,36
23505,1
23506,15
23507,2
23508,18
23509,35
23510,5
23511,35
23512,25
23513,1
23514,2
23515,16
23516,1
23517,2
23518,24
23519,37
23520,25
23521,5
23522,38
23523,34
23524,3
23525,20
23526,19
23527,28
23528,22
23529,41
23530,2
23531,35
23532,3
23533,10
23534,2
23535,1
23536,16
23537,33
23538,19
23539,14
23540,45
23541,2
23542,2
23543,18
23544,48
23545,11
23546,40
23547,30
23548,7
23549,54
23550,39
23551,1
23552,24
23553,4
23554,1
23555,27
23556,34
23557,26
23558,33
23559,1
23560,24
23561,2
23562,15
23563,14
23564,21
23565,25
23566,2
23567,28
23568,31
23569,26
23570,3
23571,9
23572,53
23573,1
23574,19
23575,19
23576,3
23577,33
23578,43
23579,22
23580,4
23581,1
23582,15
23583,1
23584,39
23585,1
23586,8
23587,16
23588,26
23589,4
23590,44
23591,31
23592,22
23593,2
23594,6
23595,46
23596,1
23597,6
23598,26
23599,20
23600,1
23601,39
23602,37
23603,21
23604,1
23605,15
23606,38
23607,1
23608,13
23609,18
23610,35
23611,2
23612,24
23613,31
23614,2
23615,9
23616,41
23617,2
23618,11
23619,29
23620,3
23621,51
23622,37
23623,1
23624,15
23625,33
23626,1
23627,29
23628,26
23629,24
23630,10
23631,42
23632,48
23633,20
23634,4
23635,18
23636,25
23637,18
23638,20
23639,16
23640,6
23641,55
23642,48
23643,25
23644,1
23645,12
23646,1
23647,47
23648,24
23649,19
23650,28
23651,3
23652,26
23653,49
23654,2
23655,20
23656,1
23657,24
23658,27
23659,1
23660,17
23661,23
23662,21
23663,4
23664,2
23665,5
23666,7
23667,1
23668,22
23669,2
23670,1
23671,19
23672,52
23673,1
23674,9
23675,23
23676,28
23677,1
23678,2
23679,6
23680,52
23681,5
23682,11
23683,22
23684,24
23685,3
23686,30
23687,14
23688,27
23689,35
23690,21
23691,5
23692,44
23693,50
23694,33
23695,6
23696,52
23697,2
23698,16
23699,18
23700,36
23701,10
23702,52
23703,23
23704,5
23705,18
23706,33
23707,1
23708,13
23709,24
23710,4
23711,25
23712,51
23713,39
23714,2
23715,15
23716,1
23717,33
23718,1
23719,19
23720,28
23721,26
23722,6
23723,46
23724,18
23725,9
23726,22
23727,2
23728,21
23729,26
23730,7
23731,30
23732,23
23733,1
23734,1
23735,10
23736,48
23737,1
23738,10
23739,31
23740,19
23741,5
23742,26
23743,43
23744,3
23745,15
23746,2
23747,21
23748,44
23749,21
23750,12
23751,39
23752,1
23753,2
23754,31
23755,2
23756,29
23757,23
23758,2
23759,1
23760,12
23761,4
23762,12
23763,42
23764,17
23765,4
23766,40
23767,46
23768,23
23769,2
23770,18
23771,45
23772,17
23773,39
23774,5
23775,38
23776,25
23777,2
23778,9
23779,1
23780,1
23781,19
23782,19
23783,5
23784,34
23785,35
23786,24
23787,17
23788,1
23789,2
23790,13
23791,29
23792,17
23793,6
23794,28
23795,40
23796,28
23797,4
23798,9
23799,3
23800,11
23801,27
23802,21
23803,3
23804,36
23805,50
23806,1
23807,2
23808,15
23809,1
23810,1
23811,23
23812,23
23813,14
23814,6
23815,41
23816,3
23817,2
23818,15
23819,1
23820,4
23821,9
23822,45
23823,44
23824,7
23825,1
23826,33
23827,6
23828,10
23829,11
23830,24
23831,27
23832,5
23833,43
23834,50
23835,27
23836,2
23837,13
23838,12
23839,19
23840,34
23841,40
23842,29
23843,4
23844,2
23845,9
23846,46
23847,2
23848,10
23849,30
23850,5
23851,25
23852,42
23853,17
23854,1
23855,17
23856,2
23857,40
23858,14
23859,16
23860,3
23861,34
23862,2
23863,3
23864,33
23865,1
23866,13
23867,20
23868,24
23869,26
23870,35
23871,42
23872,2
23873,1
23874,12
23875,1
23876,5
23877,34
23878,2
23879,36
23880,2
23881,16
23882,4
23883,17
23884,32
23885,25
23886,5
23887,39
23888,25
23889,30
23890,5
23891,17
23892,28
23893,2
23894,20
23895,27
23896,20
23897,2
23898,54
23899,28
23900,1
23901,15
23902,2
23903,43
23904,1
23905,11
23906,22
23907,19
23908,4
23909,49
23910,17
23911,1
23912,11
23913,1
23914,10
23915,18
23916,16
23917,8
23918,25
23919,3
23920,17
23921,2
23922,20
23923,25
23924,6
23925,24
23926,2
23927,4
23928,24
23929,2
23930,12
23931,36
23932,23
23933,8
23934,53
23935,1
23936,32
23937,3
23938,18
23939,2
23940,14
23941,30
23942,29
23943,5
23944,52
23945,1
23946,29
23947,1
23948,21
23949,15
23950,18
23951,4
23952,47
23953,44
23954,1
23955,1
23956,20
23957,1
23958,9
23959,19
23960,24
23961,5
23962,1
23963,32
23964,1
23965,23
23966,3
23967,19
23968,1
23969,1
23970,11
23971,22
23972,1
23973,36
23974,49
23975,2
23976,28
23977,1
23978,5
23979,1
23980,16
23981,42
23982,18
23983,4
23984,44
23985,19
23986,35
23987,1
23988,6
23989,39
23990,1
23991,14
23992,29
23993,6
23994,34
23995,29
23996,3
23997,32
23998,5
23999,1
24000,23
24001,46
24002,2
24003,22
24004,43
24005,1
24006,32
24007,1
24008,50
24009,42
24010,3
24011,36
24012,2
24013,1
24014,4
24015,2
24016,15
24017,37
24018,3
24019,26
24020,10
24021,46
24022,2
24023,24
24024,3
24025,10
24026,22
24027,30
24028,2
24029,1
24030,59
24031,24
24032,3
24033,7
24034,42
24035,4
24036,9
24037,31
24038,2
24039,20
24040,3
24041,43
24042,24
24043,2
24044,14
24045,3
24046,13
24047,34
24048,28
24049,1
24050,32
24051,1
24052,45
24053,2
24054,15
24055,1
24056,1
24057,10
24058,5
24059,12
24060,31
24061,16
24062,6
24063,4
24064,50
24065,1
24066,29
24067,2
24068,11
24069,1
24070,16
24071,40
24072,16
24073,25
24074,41
24075,3
24076,17
24077,5
24078,1
24079,13
24080,46
24081,26
24082,7
24083,55
24084,3
24085,30
24086,1
24087,18
24088,37
24089,20
24090,40
24091,10
24092,23
24093,12
24094,1
24095,16
24096,2
24097,15
24098,16
24099,31
24100,13
24101,45
24102,45
24103,4
24104,19
24105,8
24106,49
24107,11
24108,18
24109,1
24110,4
24111,6
24112,27
24113,14
24114,10
24115,1
24116,14
24117,15
24118,6
24119,43
24120,49
24121,1
24122,23
24123,1
24124,10
24125,4
24126,18
24127,5
24128,1
24129,29
24130,33
24131,13
24132,46
24133,6
24134,26
24135,8
24136,25
24137,12
24138,27
24139,1
24140,32
24141,1
24142,24
24143,21
24144,38
24145,33
24146,21
24147,1
24148,2
24149,35
24150,3
24151,27
24152,28
24153,37
24154,33
24155,7
24156,51
24157,28
24158,7
24159,25
24160,30
24161,24
24162,3
24163,34
24164,28
24165,30
24166,17
24167,1
24168,30
24169,19
24170,36
24171,21
24172,11
24173,46
24174,1
24175,29
24176,1
24177,19
24178,18
24179,13
24180,36
24181,1
24182,26
24183,4
24184,45
24185,2
24186,1
24187,23
24188,2
24189,13
24190,33
24191,18
24192,28
24193,28
24194,5
24195,1
24196,41
24197,2
24198,3
24199,34
24200,10
24201,1
24202,29
24203,2
24204,9
24205,49
24206,30
24207,1
24208,43
24209,23
24210,33
24211,4
24212,24
24213,16
24214,43
24215,45
24216,4
24217,20
24218,24
24219,1
24220,7
24221,47
24222,2
24223,24
24224,10
24225,20
24226,42
24227,18
24228,3
24229,35
24230,1
24231,20
24232,14
24233,15
24234,33
24235,5
24236,32
24237,1
24238,1
24239,22
24240,4
24241,16
24242,27
24243,1
24244,22
24245,10
24246,49
24247,32
24248,1
24249,13
24250,26
24251,16
24252,3
24253,27
24254,1
24255,31
24256,10
24257,38
24258,9
24259,16
24260,14
24261,31
24262,1
24263,1
24264,39
24265,16
24266,46
24267,22
24268,33
24269,3
24270,35
24271,1
24272,48
24273,16
24274,21
24275,47
24276,2
24277,41
24278,1
24279,37
24280,2
24281,30
24282,14
24283,17
24284,29
24285,24
24286,14
24287,37
24288,43
24289,2
24290,27
24291,15
24292,21
24293,18
24294,4
24295,1
24296,48
24297,23
24298,9
24299,27
24300,11
24301,16
24302,10
24303,24
24304,2
24305,27
24306,2
24307,6
24308,46
24309,17
24310,26
24311,2
24312,18
24313,1
24314,29
24315,1
24316,45
24317,1
24318,1
24319,25
24320,3
24321,16
24322,32
24323,9
24324,33
24325,3
24326,21
24327,8
24328,3
24329,34
24330,2
24331,18
24332,55
24333,19
24334,24
24335,2
24336,7
24337,1
24338,37
24339,32
24340,13
24341,3
24342,24
24343,38
24344,20
24345,10
24346,44
24347,42
24348,1
24349,33
24350,14
24351,16
24352,30
24353,22
24354,5
24355,32
24356,49
24357,26
24358,3
24359,8
24360,15
24361,31
24362,4
24363,1
24364,42
24365,30
24366,4
24367,15
24368,14
24369,27
24370,3
24371,18
24372,3
24373,27
24374,1
24375,21
24376,35
24377,7
24378,7
24379,29
24380,21
24381,9
24382,3
24383,24
24384,1
24385,2
24386,13
24387,16
24388,42
24389,26
24390,12
24391,33
24392,1
24393,10
24394,32
24395,34
24396,23
24397,5
24398,2
24399,50
24400,2
24401,38
24402,17
24403,1
24404,20
24405,35
24406,10
24407,54
24408,2
24409,31
24410,19
24411,19
24412,29
24413,1
24414,34
24415,12
24416,54
