,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
4311,4,2012-08-11,103.0,74.0,89.0,65.0,73.0,0.0,24.0,555.0,1917.0,moderate,0.0,0.0,29.21,29.86,0.5,17.0,2.8
4313,6,2012-08-11,102.0,70.0,86.0,68.0,74.0,0.0,21.0,555.0,1917.0,moderate,0.0,0.0,29.36,29.86,2.0,13.0,3.6
4318,11,2012-08-11,93.0,72.0,83.0,72.0,75.0,0.0,18.0,551.0,1913.0,TS,0.0,0.0,29.91,29.95,4.3,23.0,6.5
4321,14,2012-08-11,96.0,65.0,81.0,49.0,62.0,0.0,16.0,546.0,1925.0,moderate,0.0,0.0,28.58,29.92,6.9,13.0,8.5
4322,15,2012-08-11,81.0,66.0,74.0,68.0,69.0,0.0,9.0,447.0,1855.0,RA FG BR,0.0,1.55,29.51,29.89,0.8,12.0,3.4
4325,18,2012-08-11,98.0,75.0,87.0,53.0,66.0,0.0,22.0,548.0,1918.0,moderate,0.0,0.0,29.39,29.9,5.5,8.0,6.5
4326,19,2012-08-11,76.0,56.0,66.0,53.0,59.0,0.0,1.0,453.0,1901.0,moderate,0.0,0.0,29.23,29.97,5.7,36.0,7.7
4329,2,2012-08-12,80.0,68.0,74.0,69.0,70.0,0.0,9.0,451.0,1853.0,RA BR,0.0,0.32,28.84,29.92,6.6,22.0,7.2
4333,6,2012-08-12,100.0,74.0,87.0,68.0,74.0,0.0,22.0,556.0,1916.0,moderate,0.0,0.0,29.41,29.89,7.2,18.0,7.6
4338,11,2012-08-12,89.0,73.0,81.0,74.0,76.0,0.0,16.0,551.0,1913.0,RA HZ,0.0,0.23,29.95,29.99,4.0,23.0,5.8
4342,15,2012-08-12,83.0,66.0,75.0,69.0,70.0,0.0,10.0,448.0,1853.0,RA FG+ FG BR,0.0,0.28,29.52,29.89,1.2,15.0,1.2
4345,18,2012-08-12,104.0,77.0,91.0,64.0,73.0,0.0,26.0,548.0,1917.0,TSRA,0.0,0.01,29.36,29.86,8.5,17.0,9.7
4346,19,2012-08-12,78.0,61.0,70.0,51.0,59.0,0.0,5.0,454.0,1860.0,moderate,0.0,0.0,29.24,29.98,5.2,25.0,5.6
4349,2,2012-08-13,80.0,64.0,72.0,61.0,65.0,0.0,7.0,452.0,1852.0,moderate,0.0,0.0,28.87,29.95,7.7,28.0,8.1
4350,3,2012-08-13,90.0,67.0,79.0,58.0,66.0,0.0,14.0,540.0,1917.0,moderate,0.0,0.0,29.26,29.96,7.7,36.0,8.7
4353,6,2012-08-13,101.0,76.0,89.0,70.0,75.0,0.0,24.0,556.0,1915.0,moderate,0.0,0.0,29.42,29.92,7.7,19.0,8.3
4358,11,2012-08-13,93.0,71.0,82.0,72.0,75.0,0.0,17.0,552.0,1912.0,moderate,0.0,0.01,29.98,30.01,2.8,26.0,3.7
4361,14,2012-08-13,94.0,69.0,82.0,52.0,64.0,0.0,17.0,548.0,1923.0,moderate,0.0,0.0,28.64,29.97,6.7,1.0,7.9
4362,15,2012-08-13,85.0,63.0,74.0,63.0,66.0,0.0,9.0,449.0,1852.0,FG+ BR,0.0,0.0,29.54,29.91,1.2,27.0,2.5
4365,18,2012-08-13,104.0,83.0,94.0,58.0,70.0,0.0,29.0,549.0,1916.0,moderate,0.0,0.0,29.41,29.91,2.6,8.0,6.6
4366,19,2012-08-13,70.0,61.0,66.0,58.0,61.0,0.0,1.0,455.0,1858.0,RA,0.0,0.05,29.21,29.96,1.3,24.0,2.7
4370,3,2012-08-14,84.0,67.0,76.0,59.0,65.0,0.0,11.0,541.0,1916.0,RA,0.0,0.04,29.22,29.94,4.2,5.0,5.6
4371,4,2012-08-14,102.0,78.0,90.0,67.0,74.0,0.0,25.0,557.0,1915.0,moderate,0.0,0.0,29.21,29.88,3.6,18.0,5.9
4373,6,2012-08-14,101.0,74.0,88.0,68.0,74.0,0.0,23.0,557.0,1914.0,moderate,0.0,0.0,29.38,29.88,8.3,18.0,8.8
4378,11,2012-08-14,92.0,68.0,80.0,71.0,74.0,0.0,15.0,553.0,1911.0,BR,0.0,0.37,29.96,30.0,2.5,22.0,4.6
4381,14,2012-08-14,92.0,68.0,80.0,57.0,65.0,0.0,15.0,549.0,1922.0,moderate,0.0,0.0,28.56,29.9,10.3,10.0,13.2
4382,15,2012-08-14,83.0,58.0,71.0,63.0,66.0,0.0,6.0,450.0,1850.0,moderate,0.0,0.0,29.55,29.92,1.9,22.0,2.0
4385,18,2012-08-14,105.0,75.0,90.0,62.0,71.0,0.0,25.0,550.0,1915.0,TSRA,0.0,0.57,29.35,29.86,4.2,11.0,10.1
4386,19,2012-08-14,77.0,58.0,68.0,60.0,63.0,0.0,3.0,456.0,1857.0,BR,0.0,0.0,29.17,29.91,1.8,13.0,5.2
4389,2,2012-08-15,79.0,63.0,71.0,65.0,67.0,0.0,6.0,454.0,1849.0,TSRA RA FG BR VCTS,0.0,2.27,28.84,29.9,2.8,23.0,4.4
4390,3,2012-08-15,98.0,65.0,82.0,65.0,71.0,0.0,17.0,541.0,1915.0,moderate,0.0,0.0,29.14,29.85,6.7,19.0,8.1
4391,4,2012-08-15,102.0,78.0,90.0,67.0,74.0,0.0,25.0,558.0,1914.0,moderate,0.0,0.0,29.21,29.86,6.5,17.0,7.7
4393,6,2012-08-15,101.0,75.0,88.0,68.0,74.0,0.0,23.0,558.0,1913.0,moderate,0.0,0.0,29.36,29.86,10.2,17.0,10.5
4398,11,2012-08-15,90.0,73.0,82.0,73.0,75.0,0.0,17.0,553.0,1910.0,TSRA,0.0,0.01,29.96,30.0,2.5,25.0,3.6
4401,14,2012-08-15,99.0,71.0,85.0,65.0,71.0,0.0,20.0,550.0,1921.0,moderate,0.0,0.0,28.5,29.84,10.9,17.0,11.5
4402,15,2012-08-15,83.0,65.0,74.0,65.0,68.0,0.0,9.0,451.0,1849.0,RA BR,0.0,0.2,29.51,29.87,2.5,18.0,3.2
4405,18,2012-08-15,96.0,71.0,84.0,69.0,73.0,0.0,19.0,550.0,1914.0,TS TSRA BR,0.0,2.35,29.36,29.87,6.4,14.0,9.3
4406,19,2012-08-15,84.0,64.0,74.0,63.0,67.0,0.0,9.0,457.0,1855.0,RA,0.0,0.01,29.15,29.89,4.3,17.0,6.4
4409,2,2012-08-16,80.0,64.0,72.0,60.0,64.0,0.0,7.0,456.0,1847.0,RA BR,0.0,0.77,28.79,29.86,7.5,30.0,8.1
4411,4,2012-08-16,101.0,77.0,89.0,69.0,75.0,0.0,24.0,558.0,1913.0,moderate,0.0,0.0,29.27,29.92,4.7,17.0,6.8
4413,6,2012-08-16,100.0,76.0,88.0,70.0,75.0,0.0,23.0,558.0,1912.0,moderate,0.0,0.0,29.42,29.92,8.6,17.0,9.3
4418,11,2012-08-16,93.0,71.0,82.0,73.0,75.0,0.0,17.0,554.0,1909.0,TS,0.0,0.49,29.98,30.01,3.2,23.0,5.4
4421,14,2012-08-16,96.0,76.0,86.0,63.0,71.0,0.0,21.0,550.0,1919.0,moderate,0.0,0.0,28.59,29.91,5.6,21.0,12.1
4422,15,2012-08-16,82.0,60.0,71.0,63.0,66.0,0.0,6.0,452.0,1847.0,RA BR VCTS,0.0,0.77,29.46,29.83,2.7,33.0,3.5
4425,18,2012-08-16,90.0,80.0,85.0,66.0,72.0,0.0,20.0,551.0,1913.0,moderate,0.0,0.0,29.44,29.94,3.3,17.0,7.4
4426,19,2012-08-16,76.0,63.0,70.0,59.0,64.0,0.0,5.0,458.0,1854.0,TSRA RA BR,0.0,0.7,29.1,29.81,7.7,26.0,10.9
4429,2,2012-08-17,83.0,63.0,73.0,62.0,66.0,0.0,8.0,457.0,1846.0,RA BR VCTS,0.0,0.38,28.77,29.84,7.8,24.0,9.0
4430,3,2012-08-17,90.0,69.0,80.0,53.0,64.0,0.0,15.0,543.0,1913.0,moderate,0.0,0.0,29.26,29.97,6.4,2.0,7.7
4431,4,2012-08-17,102.0,78.0,90.0,69.0,75.0,0.0,25.0,559.0,1912.0,moderate,0.0,0.0,29.23,29.91,3.1,18.0,5.4
4433,6,2012-08-17,100.0,74.0,87.0,70.0,75.0,0.0,22.0,559.0,1911.0,moderate,0.0,0.0,29.39,29.91,5.4,18.0,6.6
4438,11,2012-08-17,90.0,72.0,81.0,72.0,74.0,0.0,16.0,554.0,1908.0,TS TSRA,0.0,0.19,29.93,29.96,3.7,22.0,5.2
4441,14,2012-08-17,92.0,69.0,81.0,51.0,63.0,0.0,16.0,551.0,1918.0,moderate,0.0,0.0,28.61,29.96,8.5,5.0,9.7
4442,15,2012-08-17,87.0,55.0,71.0,62.0,65.0,0.0,6.0,453.0,1846.0,TS RA BR,0.0,0.06,29.42,29.8,2.5,19.0,3.2
4445,18,2012-08-17,98.0,77.0,88.0,69.0,74.0,0.0,23.0,552.0,1912.0,TS,0.0,0.0,29.4,29.91,4.9,13.0,6.9
4446,19,2012-08-17,74.0,57.0,66.0,52.0,57.0,0.0,1.0,459.0,1853.0,moderate,0.0,0.0,29.24,29.98,2.7,31.0,6.8
4449,2,2012-08-18,75.0,61.0,68.0,57.0,61.0,0.0,3.0,458.0,1844.0,RA,0.0,0.02,28.8,29.88,6.4,30.0,6.9
4450,3,2012-08-18,77.0,67.0,72.0,65.0,67.0,0.0,7.0,544.0,1911.0,TSRA RA BR,0.0,0.4,29.19,29.91,1.0,18.0,3.8
4451,4,2012-08-18,89.0,71.0,80.0,71.0,74.0,0.0,15.0,560.0,1911.0,TS TSRA RA BR VCTS,0.0,1.21,29.21,29.88,0.6,17.0,4.7
4453,6,2012-08-18,92.0,72.0,82.0,72.0,75.0,0.0,17.0,559.0,1910.0,TSRA BR,0.0,2.83,29.36,29.87,3.0,5.0,9.3
4458,11,2012-08-18,91.0,73.0,82.0,73.0,76.0,0.0,17.0,555.0,1907.0,moderate,0.0,0.0,29.86,29.91,5.7,24.0,6.3
4461,14,2012-08-18,79.0,65.0,72.0,61.0,65.0,0.0,7.0,552.0,1917.0,TSRA RA BR,0.0,1.27,28.56,29.91,6.2,10.0,9.2
4462,15,2012-08-18,80.0,54.0,67.0,57.0,62.0,0.0,2.0,454.0,1844.0,RA,0.0,0.05,29.47,29.86,2.7,29.0,3.5
4465,18,2012-08-18,87.0,69.0,78.0,66.0,70.0,0.0,13.0,553.0,1910.0,TSRA RA BR,0.0,1.33,29.39,29.89,6.5,12.0,9.5
4466,19,2012-08-18,76.0,55.0,66.0,49.0,57.0,0.0,1.0,500.0,1851.0,moderate,0.0,0.0,29.23,29.98,2.3,20.0,4.2
4469,2,2012-08-19,72.0,60.0,66.0,52.0,58.0,0.0,1.0,459.0,1843.0,moderate,0.0,0.0,28.87,29.95,3.6,33.0,5.2
4473,6,2012-08-19,87.0,70.0,79.0,70.0,72.0,0.0,14.0,560.0,1909.0,RA,0.0,0.03,29.39,29.9,3.3,7.0,5.3
4478,11,2012-08-19,89.0,74.0,82.0,74.0,75.0,0.0,17.0,556.0,1906.0,moderate,0.0,0.62,29.88,29.92,6.9,23.0,8.0
4481,14,2012-08-19,87.0,61.0,74.0,57.0,64.0,0.0,9.0,553.0,1916.0,BR,0.0,0.0,28.59,29.94,6.6,34.0,8.0
4482,15,2012-08-19,76.0,49.0,63.0,53.0,58.0,2.0,0.0,455.0,1843.0,moderate,0.0,0.0,29.57,29.94,0.3,17.0,1.4
4485,18,2012-08-19,93.0,68.0,81.0,62.0,68.0,0.0,16.0,553.0,1909.0,moderate,0.0,0.0,29.39,29.91,4.7,34.0,5.5
4486,19,2012-08-19,75.0,58.0,67.0,54.0,59.0,0.0,2.0,502.0,1849.0,RA,0.0,0.33,29.21,29.95,0.5,30.0,3.8
4489,2,2012-08-20,76.0,59.0,68.0,54.0,60.0,0.0,3.0,460.0,1841.0,moderate,0.0,0.0,28.84,29.91,2.7,25.0,4.2
4490,3,2012-08-20,91.0,59.0,75.0,50.0,61.0,0.0,10.0,545.0,1909.0,moderate,0.0,0.0,29.25,29.95,1.9,2.0,3.5
4491,4,2012-08-20,96.0,71.0,84.0,63.0,71.0,0.0,19.0,601.0,1909.0,moderate,0.0,0.0,29.23,29.9,0.9,36.0,3.3
4493,6,2012-08-20,95.0,68.0,82.0,65.0,71.0,0.0,17.0,601.0,1908.0,BR,0.0,0.0,29.39,29.9,3.8,3.0,5.5
4498,11,2012-08-20,89.0,72.0,81.0,73.0,74.0,0.0,16.0,556.0,1905.0,TSRA RA BR,0.0,1.37,29.89,29.95,3.5,23.0,5.0
4502,15,2012-08-20,78.0,52.0,65.0,55.0,59.0,0.0,0.0,457.0,1841.0,BR,0.0,0.0,29.52,29.9,0.6,16.0,1.5
4505,18,2012-08-20,91.0,69.0,80.0,58.0,67.0,0.0,15.0,554.0,1908.0,moderate,0.0,0.0,29.43,29.93,3.3,4.0,5.5
4506,19,2012-08-20,72.0,57.0,65.0,55.0,59.0,0.0,0.0,503.0,1848.0,RA,0.0,0.22,29.23,29.97,1.3,12.0,3.8
4509,2,2012-08-21,77.0,63.0,70.0,55.0,61.0,0.0,5.0,501.0,1840.0,moderate,0.0,0.0,28.92,30.02,6.4,29.0,7.2
4510,3,2012-08-21,93.0,61.0,77.0,53.0,64.0,0.0,12.0,546.0,1908.0,moderate,0.0,0.0,29.29,29.99,2.5,16.0,3.5
4518,11,2012-08-21,78.0,71.0,75.0,70.0,71.0,0.0,10.0,557.0,1904.0,TSRA RA BR,0.0,0.35,29.98,30.01,3.2,22.0,4.0
4525,18,2012-08-21,78.0,69.0,74.0,65.0,68.0,0.0,9.0,555.0,1907.0,RA BR HZ,0.0,0.2,29.52,30.03,1.6,31.0,2.8
4526,19,2012-08-21,77.0,56.0,67.0,52.0,59.0,0.0,2.0,504.0,1846.0,moderate,0.0,0.0,29.32,30.06,2.6,18.0,5.4
4529,2,2012-08-22,80.0,60.0,70.0,53.0,60.0,0.0,5.0,502.0,1838.0,moderate,0.0,0.0,29.05,30.14,4.1,27.0,4.8
4530,3,2012-08-22,94.0,66.0,80.0,55.0,66.0,0.0,15.0,547.0,1906.0,moderate,0.0,0.0,29.31,30.02,7.0,19.0,7.7
4533,6,2012-08-22,91.0,70.0,81.0,67.0,71.0,0.0,16.0,602.0,1906.0,moderate,0.0,0.0,29.49,29.99,4.7,6.0,4.9
4542,15,2012-08-22,82.0,50.0,66.0,53.0,58.0,0.0,1.0,459.0,1838.0,moderate,0.0,0.0,29.74,30.12,1.1,22.0,2.1
4545,18,2012-08-22,90.0,65.0,78.0,59.0,67.0,0.0,13.0,555.0,1906.0,BR,0.0,0.0,29.52,30.03,5.2,13.0,5.6
4546,19,2012-08-22,81.0,58.0,70.0,53.0,61.0,0.0,5.0,505.0,1845.0,moderate,0.0,0.0,29.31,30.06,6.6,21.0,8.0
4549,2,2012-08-23,82.0,63.0,73.0,60.0,64.0,0.0,8.0,503.0,1837.0,moderate,0.0,0.0,29.05,30.14,7.4,25.0,7.8
4550,3,2012-08-23,95.0,63.0,79.0,54.0,65.0,0.0,14.0,548.0,1905.0,moderate,0.0,0.0,29.26,29.97,10.1,17.0,10.6
4551,4,2012-08-23,94.0,72.0,83.0,67.0,72.0,0.0,18.0,602.0,1905.0,moderate,0.0,0.0,29.28,29.95,1.9,12.0,3.2
4553,6,2012-08-23,92.0,68.0,80.0,68.0,72.0,0.0,15.0,602.0,1905.0,BCFG BR,0.0,0.0,29.44,29.95,3.0,11.0,3.7
4562,15,2012-08-23,87.0,51.0,69.0,58.0,62.0,0.0,4.0,460.0,1836.0,BR,0.0,0.0,29.73,30.11,0.9,24.0,2.3
4565,18,2012-08-23,92.0,72.0,82.0,63.0,70.0,0.0,17.0,556.0,1905.0,moderate,0.0,0.0,29.46,29.97,8.9,13.0,9.8
4569,2,2012-08-24,82.0,65.0,74.0,61.0,66.0,0.0,9.0,504.0,1835.0,moderate,0.0,0.0,29.1,30.18,0.8,35.0,4.7
4571,4,2012-08-24,97.0,74.0,86.0,69.0,74.0,0.0,21.0,603.0,1904.0,moderate,0.0,0.0,29.19,29.86,3.1,14.0,5.5
4573,6,2012-08-24,95.0,70.0,83.0,69.0,73.0,0.0,18.0,603.0,1904.0,BR,0.0,0.0,29.34,29.86,6.1,16.0,6.3
4578,11,2012-08-24,86.0,67.0,77.0,68.0,70.0,0.0,12.0,559.0,1859.0,FG BR,0.0,0.0,30.02,30.06,2.4,5.0,4.0
4582,15,2012-08-24,85.0,55.0,70.0,60.0,64.0,0.0,5.0,501.0,1835.0,BR,0.0,0.0,29.78,30.17,1.5,14.0,2.2
4585,18,2012-08-24,93.0,74.0,84.0,68.0,73.0,0.0,19.0,557.0,1904.0,moderate,0.0,0.0,29.35,29.87,10.3,15.0,10.9
4586,19,2012-08-24,88.0,70.0,79.0,61.0,67.0,0.0,14.0,507.0,1842.0,moderate,0.0,0.0,29.24,29.98,7.6,19.0,8.8
4589,2,2012-08-25,78.0,64.0,71.0,60.0,64.0,0.0,6.0,505.0,1833.0,FG+ BR,0.0,0.0,29.21,30.31,3.7,14.0,4.3
4590,3,2012-08-25,88.0,70.0,79.0,70.0,73.0,0.0,14.0,549.0,1903.0,TSRA RA FG BR,0.0,1.95,29.14,29.83,12.9,16.0,14.5
4591,4,2012-08-25,98.0,77.0,88.0,70.0,75.0,0.0,23.0,604.0,1903.0,moderate,0.0,0.01,29.19,29.85,5.7,17.0,7.8
4593,6,2012-08-25,96.0,77.0,87.0,71.0,75.0,0.0,22.0,603.0,1903.0,moderate,0.0,0.0,29.35,29.85,11.6,17.0,12.1
4598,11,2012-08-25,85.0,68.0,77.0,69.0,71.0,0.0,12.0,559.0,1858.0,BR,0.0,0.0,30.03,30.07,6.3,5.0,6.5
4601,14,2012-08-25,94.0,70.0,82.0,68.0,72.0,0.0,17.0,557.0,1908.0,TS TSRA,0.0,0.71,28.46,29.79,11.3,16.0,14.4
4602,15,2012-08-25,80.0,59.0,70.0,60.0,64.0,0.0,5.0,502.0,1833.0,BR,0.0,0.0,29.91,30.3,2.8,15.0,3.1
4605,18,2012-08-25,95.0,79.0,87.0,69.0,74.0,0.0,22.0,557.0,1902.0,RA,0.0,0.04,29.34,29.84,14.6,17.0,14.9
4606,19,2012-08-25,89.0,66.0,78.0,62.0,68.0,0.0,13.0,508.0,1840.0,moderate,0.0,0.0,29.27,30.0,5.9,16.0,6.8
4609,2,2012-08-26,78.0,60.0,69.0,58.0,62.0,0.0,4.0,506.0,1832.0,FG+,0.0,0.0,29.23,30.31,2.0,23.0,2.8
4610,3,2012-08-26,91.0,71.0,81.0,70.0,73.0,0.0,16.0,550.0,1901.0,TSRA RA BR,0.0,0.49,29.24,29.92,2.6,22.0,5.4
4611,4,2012-08-26,96.0,78.0,87.0,71.0,75.0,0.0,22.0,604.0,1902.0,moderate,0.0,0.0,29.28,29.94,4.0,16.0,6.3
4613,6,2012-08-26,92.0,76.0,84.0,73.0,76.0,0.0,19.0,604.0,1902.0,RA,0.0,0.17,29.44,29.94,6.8,17.0,7.6
4621,14,2012-08-26,92.0,70.0,81.0,69.0,73.0,0.0,16.0,558.0,1907.0,RA,0.0,0.06,28.63,29.94,1.5,21.0,4.9
4622,15,2012-08-26,84.0,55.0,70.0,59.0,63.0,0.0,5.0,503.0,1832.0,moderate,0.0,0.0,29.92,30.28,1.2,18.0,1.9
4625,18,2012-08-26,86.0,77.0,82.0,72.0,75.0,0.0,17.0,558.0,1901.0,RA,0.0,0.06,29.47,29.96,5.5,17.0,6.6
4626,19,2012-08-26,78.0,72.0,75.0,67.0,70.0,0.0,10.0,509.0,1838.0,RA BR,0.0,0.15,29.26,29.99,6.5,21.0,6.9
4630,3,2012-08-27,94.0,70.0,82.0,68.0,72.0,0.0,17.0,551.0,1860.0,moderate,0.0,0.0,29.31,30.0,5.8,2.0,6.9
4631,4,2012-08-27,98.0,74.0,86.0,67.0,73.0,0.0,21.0,605.0,1901.0,moderate,0.0,0.0,29.29,29.96,0.6,3.0,1.7
4633,6,2012-08-27,95.0,71.0,83.0,69.0,74.0,0.0,18.0,605.0,1900.0,moderate,0.0,0.0,29.44,29.95,1.3,4.0,2.2
4638,11,2012-08-27,82.0,76.0,79.0,75.0,76.0,0.0,14.0,600.0,1856.0,RA BR,0.0,0.27,29.91,29.94,9.3,10.0,10.3
4641,14,2012-08-27,93.0,72.0,83.0,66.0,71.0,0.0,18.0,559.0,1906.0,moderate,0.0,0.0,28.69,30.02,7.9,3.0,8.9
4642,15,2012-08-27,87.0,54.0,71.0,61.0,65.0,0.0,6.0,504.0,1830.0,moderate,0.0,0.0,29.72,30.06,3.9,19.0,4.3
4646,19,2012-08-27,86.0,68.0,77.0,62.0,67.0,0.0,12.0,510.0,1837.0,moderate,0.0,0.0,29.31,30.03,2.8,34.0,6.5
4649,2,2012-08-28,81.0,65.0,73.0,64.0,67.0,0.0,8.0,508.0,1828.0,RA BR,0.0,0.36,28.77,29.83,6.8,29.0,8.1
4650,3,2012-08-28,94.0,65.0,80.0,60.0,67.0,0.0,15.0,552.0,1858.0,moderate,0.0,0.0,29.29,30.0,4.4,5.0,6.3
4651,4,2012-08-28,98.0,77.0,88.0,69.0,74.0,0.0,23.0,605.0,1860.0,moderate,0.0,0.0,29.2,29.87,3.2,35.0,5.1
4658,11,2012-08-28,91.0,75.0,83.0,75.0,76.0,0.0,18.0,601.0,1855.0,RA,0.0,0.1,29.9,29.94,7.5,16.0,8.0
4661,14,2012-08-28,93.0,72.0,83.0,60.0,68.0,0.0,18.0,559.0,1904.0,moderate,0.0,0.0,28.66,30.0,9.2,5.0,9.5
4662,15,2012-08-28,86.0,59.0,73.0,63.0,66.0,0.0,8.0,505.0,1828.0,RA BR,0.0,0.21,29.44,29.81,4.3,32.0,5.5
4666,19,2012-08-28,76.0,62.0,69.0,61.0,64.0,0.0,4.0,511.0,1835.0,moderate,0.0,0.0,29.36,30.1,4.4,10.0,5.7
4669,2,2012-08-29,73.0,56.0,65.0,47.0,55.0,0.0,0.0,509.0,1827.0,moderate,0.0,0.0,28.87,29.97,7.3,32.0,8.1
4670,3,2012-08-29,97.0,65.0,81.0,57.0,66.0,0.0,16.0,552.0,1857.0,moderate,0.0,0.0,29.2,29.91,3.2,3.0,4.6
4671,4,2012-08-29,98.0,79.0,89.0,64.0,72.0,0.0,24.0,606.0,1859.0,moderate,0.0,0.0,29.1,29.77,5.2,1.0,6.8
4673,6,2012-08-29,95.0,77.0,86.0,66.0,73.0,0.0,21.0,606.0,1858.0,moderate,0.0,0.0,29.25,29.76,10.8,36.0,11.0
4678,11,2012-08-29,88.0,73.0,81.0,73.0,75.0,0.0,16.0,601.0,1853.0,TS TSRA RA BR,0.0,0.44,29.93,29.97,1.8,17.0,3.2
4681,14,2012-08-29,94.0,66.0,80.0,52.0,64.0,0.0,15.0,600.0,1903.0,moderate,0.0,0.0,28.57,29.92,7.3,4.0,7.8
4682,15,2012-08-29,77.0,49.0,63.0,48.0,55.0,2.0,0.0,506.0,1827.0,moderate,0.0,0.0,29.56,29.95,5.0,32.0,5.5
4685,18,2012-08-29,96.0,72.0,84.0,59.0,69.0,0.0,19.0,560.0,1857.0,moderate,0.0,0.0,29.31,29.82,8.0,2.0,8.7
4686,19,2012-08-29,82.0,63.0,73.0,59.0,64.0,0.0,8.0,512.0,1833.0,moderate,0.0,0.0,29.3,30.05,6.4,16.0,6.7
4689,2,2012-08-30,76.0,55.0,66.0,51.0,58.0,0.0,1.0,510.0,1825.0,moderate,0.0,0.0,28.94,30.02,11.0,26.0,11.4
4690,3,2012-08-30,98.0,64.0,81.0,63.0,69.0,0.0,16.0,553.0,1856.0,moderate,0.0,0.0,29.11,29.83,6.4,5.0,8.1
4691,4,2012-08-30,103.0,78.0,91.0,61.0,71.0,0.0,26.0,606.0,1857.0,moderate,0.0,0.0,29.08,29.73,2.4,35.0,4.5
4693,6,2012-08-30,99.0,75.0,87.0,65.0,72.0,0.0,22.0,606.0,1857.0,moderate,0.0,0.0,29.23,29.72,5.7,35.0,6.4
4698,11,2012-08-30,91.0,74.0,83.0,75.0,77.0,0.0,18.0,602.0,1852.0,BR,0.0,0.0,30.01,30.06,3.2,9.0,3.8
4701,14,2012-08-30,96.0,69.0,83.0,58.0,67.0,0.0,18.0,601.0,1902.0,moderate,0.0,0.0,28.5,29.84,8.8,4.0,9.2
4702,15,2012-08-30,82.0,45.0,64.0,51.0,57.0,1.0,0.0,508.0,1825.0,moderate,0.0,0.0,29.6,29.97,4.0,23.0,4.7
4705,18,2012-08-30,98.0,77.0,88.0,62.0,71.0,0.0,23.0,600.0,1856.0,moderate,0.0,0.0,29.23,29.74,10.0,2.0,10.4
4706,19,2012-08-30,91.0,67.0,79.0,61.0,67.0,0.0,14.0,514.0,1832.0,moderate,0.0,0.0,29.21,29.96,12.9,21.0,13.1
4709,2,2012-08-31,83.0,63.0,73.0,54.0,62.0,0.0,8.0,511.0,1824.0,moderate,0.0,0.0,28.87,29.92,13.6,26.0,13.9
4710,3,2012-08-31,90.0,73.0,82.0,68.0,72.0,0.0,17.0,554.0,1854.0,RA BR,0.0,0.09,29.11,29.8,8.9,33.0,10.3
4711,4,2012-08-31,100.0,73.0,87.0,66.0,73.0,0.0,22.0,607.0,1856.0,moderate,0.0,0.0,29.23,29.88,2.5,17.0,4.1
4713,6,2012-08-31,99.0,71.0,85.0,68.0,73.0,0.0,20.0,607.0,1856.0,moderate,0.0,0.0,29.39,29.87,6.6,18.0,7.0
4718,11,2012-08-31,89.0,74.0,82.0,75.0,77.0,0.0,17.0,603.0,1851.0,BR,0.0,0.0,30.12,30.16,3.3,8.0,3.5
4721,14,2012-08-31,95.0,71.0,83.0,64.0,70.0,0.0,18.0,602.0,1900.0,moderate,0.0,0.0,28.53,29.85,5.6,35.0,6.7
4725,18,2012-08-31,100.0,80.0,90.0,65.0,73.0,0.0,25.0,601.0,1855.0,moderate,0.0,0.0,29.36,29.85,1.5,19.0,4.7
4726,19,2012-08-31,92.0,68.0,80.0,61.0,66.0,0.0,15.0,515.0,1830.0,moderate,0.0,0.0,29.3,30.02,2.3,29.0,8.4
4729,2,2012-09-01,80.0,63.0,72.0,59.0,64.0,0.0,7.0,512.0,1822.0,moderate,0.0,0.0,28.93,30.03,3.2,8.0,6.1
4730,3,2012-09-01,99.0,77.0,88.0,63.0,71.0,0.0,23.0,555.0,1853.0,moderate,0.0,0.0,29.2,29.89,7.6,29.0,8.3
4731,4,2012-09-01,101.0,78.0,90.0,71.0,76.0,0.0,25.0,608.0,1855.0,moderate,0.0,0.0,29.33,29.99,3.8,17.0,6.6
4733,6,2012-09-01,98.0,76.0,87.0,72.0,76.0,0.0,22.0,607.0,1855.0,BR,0.0,0.0,29.49,29.99,9.2,18.0,9.2
4738,11,2012-09-01,91.0,73.0,82.0,73.0,75.0,0.0,17.0,603.0,1850.0,FG+ FG BR,0.0,0.0,30.09,30.12,2.2,10.0,2.7
4741,14,2012-09-01,101.0,71.0,86.0,61.0,70.0,0.0,21.0,602.0,1859.0,moderate,0.0,0.0,28.59,29.92,2.0,13.0,3.5
4742,15,2012-09-01,80.0,56.0,68.0,58.0,62.0,0.0,3.0,510.0,1821.0,BR,0.0,0.0,29.62,30.02,2.1,11.0,2.9
4745,18,2012-09-01,99.0,80.0,90.0,68.0,75.0,0.0,25.0,602.0,1854.0,moderate,0.0,0.0,29.45,29.95,7.9,20.0,8.1
4746,19,2012-09-01,74.0,68.0,71.0,60.0,65.0,0.0,6.0,516.0,1828.0,moderate,0.0,0.0,29.31,30.06,12.2,5.0,12.2
4749,2,2012-09-02,75.0,59.0,67.0,56.0,60.0,0.0,2.0,513.0,1820.0,moderate,0.0,0.0,29.03,30.12,1.0,8.0,4.1
